Sport,Discipline,Athlete,Event,Country,Medal,Year,Season,Gender,City
Aquatics,Swimming,"HAJOS, Alfred",100M Freestyle,Hungary,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"HERSCHMANN, Otto",100M Freestyle,Austria,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"DRIVAS, Dimitrios",100M Freestyle For Sailors,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"MALOKINIS, Ioannis",100M Freestyle For Sailors,Greece,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"CHASAPIS, Spiridon",100M Freestyle For Sailors,Greece,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"CHOROPHAS, Efstathios",1200M Freestyle,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"HAJOS, Alfred",1200M Freestyle,Hungary,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"ANDREOU, Joannis",1200M Freestyle,Greece,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"CHOROPHAS, Efstathios",400M Freestyle,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"NEUMANN, Paul",400M Freestyle,Austria,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"PEPANOS, Antonios",400M Freestyle,Greece,Silver,1896,summer,Men,Athens
Athletics,Athletics,"LANE, Francis",100M,United States,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"SZOKOLYI, Alajos",100M,Hungary,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"BURKE, Thomas",100M,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"HOFMANN, Fritz",100M,Germany,Silver,1896,summer,Men,Athens
Athletics,Athletics,"CURTIS, Thomas",110M Hurdles,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"GOULDING, Grantley",110M Hurdles,United Kingdom,Silver,1896,summer,Men,Athens
Athletics,Athletics,"LERMUSIAUX, Albin",1500M,France,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"FLACK, Edwin",1500M,Australia,Gold,1896,summer,Men,Athens
Athletics,Athletics,"BLAKE, Arthur",1500M,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"GMELIN, Charles",400M,United Kingdom,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"BURKE, Thomas",400M,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"JAMISON, Herbert",400M,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"GOLEMIS, Dimitrios",800M,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"FLACK, Edwin",800M,Australia,Gold,1896,summer,Men,Athens
Athletics,Athletics,"DANI, Nandor",800M,Hungary,Silver,1896,summer,Men,Athens
Athletics,Athletics,"VERSIS, Sotirios",Discus Throw,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"GARRETT, Robert",Discus Throw,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Discus Throw,Greece,Silver,1896,summer,Men,Athens
Athletics,Athletics,"CLARK, Ellery",High Jump,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"CONNOLLY, James",High Jump,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"GARRETT, Robert",High Jump,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"CONNOLLY, James",Long Jump,United States,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"CLARK, Ellery",Long Jump,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"GARRETT, Robert",Long Jump,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"KELLNER, Gyula",Marathon,Hungary,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"LOUIS, Spyridon",Marathon,Greece,Gold,1896,summer,Men,Athens
Athletics,Athletics,"VASILAKOS, Kharilaos",Marathon,Greece,Silver,1896,summer,Men,Athens
Athletics,Athletics,"DAMASKOS, Evangelos",Pole Vault,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"THEODOROPOULOS, Ioannis",Pole Vault,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"HOYT, William Welles",Pole Vault,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"TYLER, Albert",Pole Vault,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"PAPASIDERIS, Georgios",Shot Put,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"GARRETT, Robert",Shot Put,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"GOUSKOS, Miltiadis",Shot Put,Greece,Silver,1896,summer,Men,Athens
Athletics,Athletics,"PERSAKIS, Ioannis",Triple Jump,Greece,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"CONNOLLY, James",Triple Jump,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"TUFFERI, Alexandre",Triple Jump,France,Silver,1896,summer,Men,Athens
Cycling,Cycling Road,"BATTEL, Edward",Individual Road Race,United Kingdom,Bronze,1896,summer,Men,Athens
Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Individual Road Race,Greece,Gold,1896,summer,Men,Athens
Cycling,Cycling Road,"GOEDRICH, August",Individual Road Race,Germany,Silver,1896,summer,Men,Athens
Cycling,Cycling Track,"FLAMENG, Léon",100KM,France,Gold,1896,summer,Men,Athens
Cycling,Cycling Track,"KOLETTIS, Georgios",100KM,Greece,Silver,1896,summer,Men,Athens
Cycling,Cycling Track,"SCHMAL, Adolf",10KM,Austria,Bronze,1896,summer,Men,Athens
Cycling,Cycling Track,"MASSON, Paul",10KM,France,Gold,1896,summer,Men,Athens
Cycling,Cycling Track,"FLAMENG, Léon",10KM,France,Silver,1896,summer,Men,Athens
Cycling,Cycling Track,"SCHMAL, Adolf",12-Hour Race,Austria,Gold,1896,summer,Men,Athens
Cycling,Cycling Track,"KEEPING, Frank",12-Hour Race,United Kingdom,Silver,1896,summer,Men,Athens
Cycling,Cycling Track,"SCHMAL, Adolf",1KM Time Trial,Austria,Bronze,1896,summer,Men,Athens
Cycling,Cycling Track,"MASSON, Paul",1KM Time Trial,France,Gold,1896,summer,Men,Athens
Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",1KM Time Trial,Greece,Silver,1896,summer,Men,Athens
Cycling,Cycling Track,"FLAMENG, Léon",Sprint Indivual,France,Bronze,1896,summer,Men,Athens
Cycling,Cycling Track,"MASSON, Paul",Sprint Indivual,France,Gold,1896,summer,Men,Athens
Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Sprint Indivual,Greece,Silver,1896,summer,Men,Athens
Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Foil Individual,Greece,Bronze,1896,summer,Men,Athens
Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",Foil Individual,France,Gold,1896,summer,Men,Athens
Fencing,Fencing,"CALLOT, Henri",Foil Individual,France,Silver,1896,summer,Men,Athens
Fencing,Fencing,"PYRGOS, Leonidas","Foil, Masters",Greece,Gold,1896,summer,Men,Athens
Fencing,Fencing,"PERRONNET, Maurice","Foil, Masters",France,Silver,1896,summer,Men,Athens
Fencing,Fencing,"NIELSEN, Holger",Sabre Individual,Denmark,Bronze,1896,summer,Men,Athens
Fencing,Fencing,"GEORGIADIS, Ioannis",Sabre Individual,Greece,Gold,1896,summer,Men,Athens
Fencing,Fencing,"KARAKALOS, Telemachos",Sabre Individual,Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Horizontal Bar,Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Alfred",Horizontal Bar,Germany,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Alfred",Parallel Bars,Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ZUTTER, Louis",Parallel Bars,Switzerland,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ZUTTER, Louis",Pommel Horse,Switzerland,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Pommel Horse,Germany,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"PERSAKIS, Petros",Rings,Greece,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Rings,Greece,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Rings,Germany,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"HOFMANN, Fritz",Rope Climbing,Germany,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Rope Climbing,Greece,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"XENAKIS, Thomasios",Rope Climbing,Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"BÖCKER, Konrad","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Alfred","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Gustav Felix","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"HILMAR, Georg","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"HOFMANN, Fritz","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"MANTEUFFEL, Fritz","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"NEUKIRCH, Karl","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"RÖSTEL, Richard","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"SCHUFT, Gustav","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"SCHUMANN, Carl","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann","Team, Horizontal Bar",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis","Team, Parallel Bars",Greece,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"KARVELAS, Phillippos","Team, Parallel Bars",Greece,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios","Team, Parallel Bars",Greece,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"MITROPOULOS, Ioannis","Team, Parallel Bars",Greece,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"BÖCKER, Konrad","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Alfred","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"FLATOW, Gustav Felix","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"HILMAR, Georg","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"HOFMANN, Fritz","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"MANTEUFFEL, Fritz","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"NEUKIRCH, Karl","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"RÖSTEL, Richard","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"SCHUFT, Gustav","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"SCHUMANN, Carl","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann","Team, Parallel Bars",Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos","Team, Parallel Bars",Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros","Team, Parallel Bars",Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"PERSAKIS, Petros","Team, Parallel Bars",Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"XENAKIS, Thomasios","Team, Parallel Bars",Greece,Silver,1896,summer,Men,Athens
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Vault,Germany,Bronze,1896,summer,Men,Athens
Gymnastics,Artistic G.,"SCHUMANN, Carl",Vault,Germany,Gold,1896,summer,Men,Athens
Gymnastics,Artistic G.,"ZUTTER, Louis",Vault,Switzerland,Silver,1896,summer,Men,Athens
Shooting,Shooting,"MORAKIS, Nikolaos",25M Army Pistol,Greece,Bronze,1896,summer,Men,Athens
Shooting,Shooting,"PAINE, John",25M Army Pistol,United States,Gold,1896,summer,Men,Athens
Shooting,Shooting,"PAINE, Sumner",25M Army Pistol,United States,Silver,1896,summer,Men,Athens
Shooting,Shooting,"NIELSEN, Holger",25M Rapid Fire Pistol (60 Shots),Denmark,Bronze,1896,summer,Men,Athens
Shooting,Shooting,"PHRANGOUDIS, Joannis",25M Rapid Fire Pistol (60 Shots),Greece,Gold,1896,summer,Men,Athens
Shooting,Shooting,"ORPHANIDIS, Georgios",25M Rapid Fire Pistol (60 Shots),Greece,Silver,1896,summer,Men,Athens
Shooting,Shooting,"PHRANGOUDIS, Joannis",50M Pistol (60 Shots),Greece,Bronze,1896,summer,Men,Athens
Shooting,Shooting,"PAINE, Sumner",50M Pistol (60 Shots),United States,Gold,1896,summer,Men,Athens
Shooting,Shooting,"NIELSEN, Holger",50M Pistol (60 Shots),Denmark,Silver,1896,summer,Men,Athens
Shooting,Shooting,"TRIKUPIS, Nicolaos","Army Rifle, 200M",Greece,Bronze,1896,summer,Men,Athens
Shooting,Shooting,"KARASEVDAS, Pantelis","Army Rifle, 200M",Greece,Gold,1896,summer,Men,Athens
Shooting,Shooting,"PAVLIDIS, Pavlos","Army Rifle, 200M",Greece,Silver,1896,summer,Men,Athens
Shooting,Shooting,"JENSEN, Viggo","Army Rifle, 300M",Denmark,Bronze,1896,summer,Men,Athens
Shooting,Shooting,"ORPHANIDIS, Georgios","Army Rifle, 300M",Greece,Gold,1896,summer,Men,Athens
Shooting,Shooting,"PHRANGOUDIS, Joannis","Army Rifle, 300M",Greece,Silver,1896,summer,Men,Athens
Tennis,Tennis,"FLACK, Edwin",Doubles,Mixed teams,Bronze,1896,summer,Men,Athens
Tennis,Tennis,"ROBERTSON, George Stuart",Doubles,Mixed teams,Bronze,1896,summer,Men,Athens
Tennis,Tennis,"BOLAND, John",Doubles,Mixed teams,Gold,1896,summer,Men,Athens
Tennis,Tennis,"TRAUN, Friedrich",Doubles,Mixed teams,Gold,1896,summer,Men,Athens
Tennis,Tennis,"KASDAGLIS, Dionysios",Doubles,Mixed teams,Silver,1896,summer,Men,Athens
Tennis,Tennis,"PETROKOKKINOS, Demetrios",Doubles,Mixed teams,Silver,1896,summer,Men,Athens
Tennis,Tennis,"PASPATIS, Konstantinos",Singles,Greece,Bronze,1896,summer,Men,Athens
Tennis,Tennis,"TAPAVICZA, Momcsillo",Singles,Hungary,Bronze,1896,summer,Men,Athens
Tennis,Tennis,"BOLAND, John",Singles,United Kingdom,Gold,1896,summer,Men,Athens
Tennis,Tennis,"KASDAGLIS, Dionysios",Singles,Greece,Silver,1896,summer,Men,Athens
Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",Heavyweight - One Hand Lift,Greece,Bronze,1896,summer,Men,Athens
Weightlifting,Weightlifting,"ELLIOTT, Launceston",Heavyweight - One Hand Lift,United Kingdom,Gold,1896,summer,Men,Athens
Weightlifting,Weightlifting,"JENSEN, Viggo",Heavyweight - One Hand Lift,Denmark,Silver,1896,summer,Men,Athens
Weightlifting,Weightlifting,"VERSIS, Sotirios",Heavyweight - Two Hand Lift,Greece,Bronze,1896,summer,Men,Athens
Weightlifting,Weightlifting,"JENSEN, Viggo",Heavyweight - Two Hand Lift,Denmark,Gold,1896,summer,Men,Athens
Weightlifting,Weightlifting,"ELLIOTT, Launceston",Heavyweight - Two Hand Lift,United Kingdom,Silver,1896,summer,Men,Athens
Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",Open Event,Greece,Bronze,1896,summer,Men,Athens
Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",Open Event,Germany,Gold,1896,summer,Men,Athens
Wrestling,Wrestling Gre-R,"TSITAS, Georgios",Open Event,Greece,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"HALMAY, Zoltan",1500M Freestyle,Hungary,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"JARVIS, John Arthur",1500M Freestyle,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"WAHLE, Otto",1500M Freestyle,Austria,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"DROST, Johannes",200M Backstroke,Netherlands,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"HOPPENBERG, Ernst",200M Backstroke,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"RUBERL, Karl",200M Backstroke,Austria,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"RUBERL, Karl",200M Freestyle,Austria,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"LANE, Frederick C.V.",200M Freestyle,Australia,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"HALMAY, Zoltan",200M Freestyle,Hungary,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"KEMP, Peter",200M Obstacle Event,United Kingdom,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"LANE, Frederick C.V.",200M Obstacle Event,Australia,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"WAHLE, Otto",200M Obstacle Event,Austria,Silver,1900,summer,Men,Paris
Aquatics,Swimming,HOUBEN,200M Team Swimming,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"LEUILLIEUX, Jean",200M Team Swimming,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"MARTIN, Louis",200M Team Swimming,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"MERCHEZ, Désiré",200M Team Swimming,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,TARTARA,200M Team Swimming,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"FREY, Julius",200M Team Swimming,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"HAINLE, Max",200M Team Swimming,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"HOPPENBERG, Ernst",200M Team Swimming,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"SCHÖNE, Max",200M Team Swimming,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"VON PETERSDORFF, Herbert",200M Team Swimming,Germany,Gold,1900,summer,Men,Paris
Aquatics,Swimming,BERTRAND,200M Team Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Swimming,CADET,200M Team Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"HOCHEPIED, Maurice",200M Team Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"HOCHEPIED, Victor",200M Team Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Swimming,VERBECKE,200M Team Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"MARTIN, Louis",4000M Freestyle,France,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"JARVIS, John Arthur",4000M Freestyle,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"HALMAY, Zoltan",4000M Freestyle,Hungary,Silver,1900,summer,Men,Paris
Aquatics,Swimming,"LYKKEBERG, Peder",Underwater Swimming,Denmark,Bronze,1900,summer,Men,Paris
Aquatics,Swimming,"DE VENDEVILLE, Charles",Underwater Swimming,France,Gold,1900,summer,Men,Paris
Aquatics,Swimming,"SIX, André",Underwater Swimming,France,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"BURGESS, Thomas",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,COULON,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"DECUYPER, Alphonse",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,DEVENOT,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,FARDELLE,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,FAVIER,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"LAUFRAY, Louis",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,LERICHE,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"MARTIN, Louis",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"MERCHEZ, Désiré",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"PESLIER, Henri",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,PESLOY,Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"TREFFEL, Charles",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"VASSEUR, Paul",Water Polo,France,Bronze,1900,summer,Men,Paris
Aquatics,Water polo,"COE, Thomas",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"DERBYSHIRE, John Henry",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"KEMP, Peter",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"LISTER, William",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"ROBERTSON, Arthur",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"ROBINSON, Eric",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"WILKINSON, George",Water Polo,United Kingdom,Gold,1900,summer,Men,Paris
Aquatics,Water polo,"COHEN, Henri",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"DE BACKER, Jean",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"DE BEHR, Victor",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"FEYAERTS, Fernand",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"GREGOIRE, Oscar",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"MICHANT, Albert",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Aquatics,Water polo,"SONNEMANS, Victor",Water Polo,Belgium,Silver,1900,summer,Men,Paris
Archery,Archery,"PETIT, Charles Frédéric","Au Chapelet, 33M",France,Bronze,1900,summer,Men,Paris
Archery,Archery,"VAN INNIS, Hubert","Au Chapelet, 33M",Belgium,Gold,1900,summer,Men,Paris
Archery,Archery,"THIBAUD, Victor","Au Chapelet, 33M",France,Silver,1900,summer,Men,Paris
Archery,Archery,"MERCIER, Emile","Au Chapelet, 50M",France,Bronze,1900,summer,Men,Paris
Archery,Archery,"MOUGIN, Eugène","Au Chapelet, 50M",France,Gold,1900,summer,Men,Paris
Archery,Archery,"HELLE, Henri","Au Chapelet, 50M",France,Silver,1900,summer,Men,Paris
Archery,Archery,"PETIT, Charles Frédéric","Au Cordon Doré, 33M",France,Bronze,1900,summer,Men,Paris
Archery,Archery,"VAN INNIS, Hubert","Au Cordon Doré, 33M",Belgium,Gold,1900,summer,Men,Paris
Archery,Archery,"THIBAUD, Victor","Au Cordon Doré, 33M",France,Silver,1900,summer,Men,Paris
Archery,Archery,"FISSEUX, Emile","Au Cordon Doré, 50M",France,Bronze,1900,summer,Men,Paris
Archery,Archery,"HEROUIN, Henri","Au Cordon Doré, 50M",France,Gold,1900,summer,Men,Paris
Archery,Archery,"VAN INNIS, Hubert","Au Cordon Doré, 50M",Belgium,Silver,1900,summer,Men,Paris
Archery,Archery,"FOULON, Emmanuel",Sur La Perche À La Herse,Belgium,Gold,1900,summer,Men,Paris
Archery,Archery,"DRUART, Jr.",Sur La Perche À La Herse,Belgium,Silver,1900,summer,Men,Paris
Archery,Archery,"SERRURIER, Auguste",Sur La Perche À La Herse,France,Silver,1900,summer,Men,Paris
Archery,Archery,"GLINEUX, Louis",Sur La Perche À La Pyramide,Belgium,Bronze,1900,summer,Men,Paris
Archery,Archery,"GRUMIAUX, Emile",Sur La Perche À La Pyramide,France,Gold,1900,summer,Men,Paris
Archery,Archery,"SERRURIER, Auguste",Sur La Perche À La Pyramide,France,Silver,1900,summer,Men,Paris
Athletics,Athletics,"ROWLEY, Stanley",100M,Australia,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"JARVIS, Francis",100M,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"TEWKSBURY, Walter B. John",100M,United States,Silver,1900,summer,Men,Paris
Athletics,Athletics,"MOLONEY, Frederick",110M Hurdles,United States,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"KRAENZLEIN, Alvin",110M Hurdles,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"MCLEAN, John",110M Hurdles,United States,Silver,1900,summer,Men,Paris
Athletics,Athletics,"BRAY, John",1500M,United States,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"BENNETT, Charles",1500M,United Kingdom,Gold,1900,summer,Men,Paris
Athletics,Athletics,"DELOGE, Henri",1500M,France,Silver,1900,summer,Men,Paris
Athletics,Athletics,"ROWLEY, Stanley",200M,Australia,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"TEWKSBURY, Walter B. John",200M,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"PRITCHARD, Norman",200M,India,Silver,1900,summer,Men,Paris
Athletics,Athletics,"TEWKSBURY, Walter B. John",200M Hurdles,United States,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"KRAENZLEIN, Alvin",200M Hurdles,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"PRITCHARD, Norman",200M Hurdles,India,Silver,1900,summer,Men,Paris
Athletics,Athletics,"CHASTANIE, Jacques",3000M Steeplechase,France,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"ORTON, George",3000M Steeplechase,Canada,Gold,1900,summer,Men,Paris
Athletics,Athletics,"ROBINSON, Sidney",3000M Steeplechase,United Kingdom,Silver,1900,summer,Men,Paris
Athletics,Athletics,"ROBINSON, Sidney",4000M Steeplechase,United Kingdom,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"RIMMER, John",4000M Steeplechase,United Kingdom,Gold,1900,summer,Men,Paris
Athletics,Athletics,"BENNETT, Charles",4000M Steeplechase,United Kingdom,Silver,1900,summer,Men,Paris
Athletics,Athletics,"SCHULTZ, Ernst",400M,Denmark,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"LONG, Maxwell W.Maxey",400M,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"HOLLAND, William",400M,United States,Silver,1900,summer,Men,Paris
Athletics,Athletics,"ORTON, George",400M Hurdles,Canada,Bronze,1900,summer,Men,Paris
Athletics,Athletics,"TEWKSBURY, Walter B. John",400M Hurdles,United States,Gold,1900,summer,Men,Paris
Athletics,Athletics,"TAUZIN, Henri",400M Hurdles,France,Silver,1900,summer,Men,Paris
Athletics,Athletics,"BENNETT, Charles",5000M Team,Mixed teams,Gold,1900,summer,Men,Paris
Athletics,Athletics,"RIMMER, John",5000M Team,Mixed teams,Gold,1900,summer,Men,Paris
Athletics,Athletics,"ROBINSON, Sidney",5000M Team,Mixed teams,Gold,1900,summer,Men,Paris
