Award,Year,Winning,Name,Film
Directing,1929/1930,nominated,Robert Leonard,The Divorcee
Directing,1929/1930,nominated,Ernst Lubitsch,The Love Parade
Directing,1929/1930,won,Lewis Milestone,All Quiet on the Western Front
Directing,1929/1930,nominated,King Vidor,Hallelujah
Outstanding Production,1929/1930,won,All Quiet on the Western Front ,Universal
Outstanding Production,1929/1930,nominated,The Big House ,Cosmopolitan
Outstanding Production,1929/1930,nominated,Disraeli ,Warner Brothers
Outstanding Production,1929/1930,nominated,The Divorcee ,Metro-Goldwyn-Mayer
Outstanding Production,1929/1930,nominated,The Love Parade ,Paramount Famous Lasky
Sound Recording,1929/1930,won,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1929/1930,nominated,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
Sound Recording,1929/1930,nominated,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
Sound Recording,1929/1930,nominated,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
Sound Recording,1929/1930,nominated,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
Writing,1929/1930,nominated,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
Writing,1929/1930,won,The Big House ,Frances Marion
Writing,1929/1930,nominated,Disraeli ,(Julian Josephson)
Writing,1929/1930,nominated,The Divorcee ,(John Meehan)
Writing,1929/1930,nominated,Street of Chance ,(Howard Estabrook)
Actor,1930/1931,won,Lionel Barrymore,A Free Soul
Actor,1930/1931,nominated,Jackie Cooper,Skippy
Actor,1930/1931,nominated,Richard Dix,Cimarron
Actor,1930/1931,nominated,Fredric March,The Royal Family of Broadway
Actor,1930/1931,nominated,Adolphe Menjou,The Front Page
Actress,1930/1931,nominated,Marlene Dietrich,Morocco
Actress,1930/1931,won,Marie Dressler,Min and Bill
Actress,1930/1931,nominated,Irene Dunne,Cimarron
Actress,1930/1931,nominated,Ann Harding,Holiday
Actress,1930/1931,nominated,Norma Shearer,A Free Soul
Art Direction,1930/1931,won,Cimarron ,Max Rée
Art Direction,1930/1931,nominated,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
Art Direction,1930/1931,nominated,Morocco ,Hans Dreier
Art Direction,1930/1931,nominated,Svengali ,Anton Grot
Art Direction,1930/1931,nominated,Whoopee! ,Richard Day
Cinematography,1930/1931,nominated,Cimarron ,Edward Cronjager
Cinematography,1930/1931,nominated,Morocco ,Lee Garmes
Cinematography,1930/1931,nominated,The Right to Love ,Charles Lang
Cinematography,1930/1931,nominated,Svengali ,Barney Chick McGill
Cinematography,1930/1931,won,Tabu ,Floyd Crosby
Directing,1930/1931,nominated,Cimarron ,Wesley Ruggles
Directing,1930/1931,nominated,A Free Soul ,Clarence Brown
Directing,1930/1931,nominated,The Front Page ,Lewis Milestone
Directing,1930/1931,nominated,Morocco ,Josef Von Sternberg
Directing,1930/1931,won,Skippy ,Norman Taurog
Outstanding Production,1930/1931,won,Cimarron ,RKO Radio
Outstanding Production,1930/1931,nominated,East Lynne ,Fox
Outstanding Production,1930/1931,nominated,The Front Page ,The Caddo Company
Outstanding Production,1930/1931,nominated,Skippy ,Paramount Publix
Outstanding Production,1930/1931,nominated,Trader Horn ,Metro-Goldwyn-Mayer
Sound Recording,1930/1931,nominated,Samuel Goldwyn - United Artists Studio Sound Department,
Sound Recording,1930/1931,nominated,Metro-Goldwyn-Mayer Studio Sound Department,
Sound Recording,1930/1931,won,Paramount Publix Studio Sound Department,
Sound Recording,1930/1931,nominated,RKO Radio Studio Sound Department,
Writing (Adaptation),1930/1931,won,Cimarron ,Howard Estabrook
Writing (Adaptation),1930/1931,nominated,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
Writing (Adaptation),1930/1931,nominated,Holiday ,Horace Jackson
Writing (Adaptation),1930/1931,nominated,Little Caesar ,"Francis Faragoh, Robert N. Lee"
Writing (Adaptation),1930/1931,nominated,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
Writing (Original Story),1930/1931,won,The Dawn Patrol ,John Monk Saunders
Writing (Original Story),1930/1931,nominated,The Doorway to Hell ,Rowland Brown
Writing (Original Story),1930/1931,nominated,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
Writing (Original Story),1930/1931,nominated,The Public Enemy ,"John Bright, Kubec Glasmon"
Writing (Original Story),1930/1931,nominated,Smart Money ,"Lucien Hubbard, Joseph Jackson"
Actor,1931/1932,won,Wallace Beery,The Champ
Actor,1931/1932,nominated,Alfred Lunt,The Guardsman
Actor,1931/1932,won,Fredric March,Dr. Jekyll and Mr. Hyde
Actress,1931/1932,nominated,Marie Dressler,Emma
Actress,1931/1932,nominated,Lynn Fontanne,The Guardsman
Actress,1931/1932,won,Helen Hayes,The Sin of Madelon Claudet
Art Direction,1931/1932,nominated,À Nous la Liberté ,Lazare Meerson
Art Direction,1931/1932,nominated,Arrowsmith ,Richard Day
Art Direction,1931/1932,won,Transatlantic ,Gordon Wiles
Cinematography,1931/1932,nominated,Arrowsmith ,Ray June
Cinematography,1931/1932,nominated,Dr. Jekyll and Mr. Hyde ,Karl Struss
Cinematography,1931/1932,won,Shanghai Express ,Lee Garmes
