Award,Year,Winning,Name,Film
Special Award,1941,won,The British Ministry of Information,Target for Tonight
Special Award,1941,won,Leopold Stokowski and Associates,Fantasia
Special Award,1941,won,"Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company",Fantasia
Irving G. Thalberg Memorial Award,1941,won,Walt Disney,
Actor,1942,won,James Cagney,Yankee Doodle Dandy
Actor,1942,nominated,Ronald Colman,Random Harvest
Actor,1942,nominated,Gary Cooper,The Pride of the Yankees
Actor,1942,nominated,Walter Pidgeon,Mrs. Miniver
Actor,1942,nominated,Monty Woolley,The Pied Piper
Actor in a Supporting Role,1942,nominated,William Bendix,Wake Island
Actor in a Supporting Role,1942,won,Van Heflin,Johnny Eager
Actor in a Supporting Role,1942,nominated,Walter Huston,Yankee Doodle Dandy
Actor in a Supporting Role,1942,nominated,Frank Morgan,Tortilla Flat
Actor in a Supporting Role,1942,nominated,Henry Travers,Mrs. Miniver
Actress,1942,nominated,Bette Davis,"Now, Voyager"
Actress,1942,won,Greer Garson,Mrs. Miniver
Actress,1942,nominated,Katharine Hepburn,Woman of the Year
Actress,1942,nominated,Rosalind Russell,My Sister Eileen
Actress,1942,nominated,Teresa Wright,The Pride of the Yankees
Actress in a Supporting Role,1942,nominated,Gladys Cooper,"Now, Voyager"
Actress in a Supporting Role,1942,nominated,Agnes Moorehead,The Magnificent Ambersons
Actress in a Supporting Role,1942,nominated,Susan Peters,Random Harvest
Actress in a Supporting Role,1942,nominated,Dame May Whitty,Mrs. Miniver
Actress in a Supporting Role,1942,won,Teresa Wright,Mrs. Miniver
Art Direction (Black and White),1942,nominated,George Washington Slept Here ,"Art Direction: Max Parker, Mark-Lee Kirk; Interior Decoration: Casey Roberts"
Art Direction (Black and White),1942,nominated,The Magnificent Ambersons ,"Art Direction: Albert S. D'Agostino; Interior Decoration: Darrell Silvera, Al Fields"
Art Direction (Black and White),1942,nominated,The Pride of the Yankees ,Art Direction: Perry Ferguson; Interior Decoration: Howard Bristol
Art Direction (Black and White),1942,nominated,Random Harvest ,"Art Direction: Cedric Gibbons, Randall Duell; Interior Decoration: Edwin B. Willis, Jack Moore"
Art Direction (Black and White),1942,nominated,The Shanghai Gesture ,Art Direction: Boris Leven; Interior Decoration: Boris Leven
Art Direction (Black and White),1942,nominated,Silver Queen ,Art Direction: Ralph Berger; Interior Decoration: Emile Kuri
Art Direction (Black and White),1942,nominated,The Spoilers ,"Art Direction: Jack Otterson, John B. Goodman; Interior Decoration: Russell A. Gausman, Edward R. Robinson"
Art Direction (Black and White),1942,nominated,"Take a Letter, Darling ","Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: Sam Comer"
Art Direction (Black and White),1942,nominated,The Talk of the Town ,"Art Direction: Lionel Banks, Rudolph Sternad; Interior Decoration: Fay Babcock"
Art Direction (Black and White),1942,won,This above All ,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
Art Direction (Color),1942,nominated,Arabian Nights ,"Art Direction: Jack Otterson, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
Art Direction (Color),1942,nominated,Captains of the Clouds ,Art Direction: Ted Smith; Interior Decoration: Casey Roberts
Art Direction (Color),1942,nominated,Jungle Book ,Art Direction: Vincent Korda; Interior Decoration: Julia Heron
Art Direction (Color),1942,won,My Gal Sal ,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
Art Direction (Color),1942,nominated,Reap the Wild Wind ,"Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: George Sawley"
Cinematography (Black and White),1942,nominated,Kings Row ,James Wong Howe
Cinematography (Black and White),1942,nominated,The Magnificent Ambersons ,Stanley Cortez
Cinematography (Black and White),1942,won,Mrs. Miniver ,Joseph Ruttenberg
Cinematography (Black and White),1942,nominated,Moontide ,Charles Clarke
Cinematography (Black and White),1942,nominated,The Pied Piper ,Edward Cronjager
Cinematography (Black and White),1942,nominated,The Pride of the Yankees ,Rudolph Maté
Cinematography (Black and White),1942,nominated,"Take a Letter, Darling ",John Mescall
Cinematography (Black and White),1942,nominated,The Talk of the Town ,Ted Tetzlaff
Cinematography (Black and White),1942,nominated,Ten Gentlemen from West Point ,Leon Shamroy
Cinematography (Black and White),1942,nominated,This above All ,Arthur Miller
Cinematography (Color),1942,nominated,Arabian Nights ,"Milton Krasner, William V. Skall, W. Howard Greene"
Cinematography (Color),1942,won,The Black Swan ,Leon Shamroy
Cinematography (Color),1942,nominated,Captains of the Clouds ,Sol Polito
Cinematography (Color),1942,nominated,Jungle Book ,W. Howard Greene
Cinematography (Color),1942,nominated,Reap the Wild Wind ,"Victor Milner, William V. Skall"
Cinematography (Color),1942,nominated,To the Shores of Tripoli ,"Edward Cronjager, William V. Skall"
Directing,1942,nominated,Kings Row ,Sam Wood
Directing,1942,won,Mrs. Miniver ,William Wyler
Directing,1942,nominated,Random Harvest ,Mervyn LeRoy
Directing,1942,nominated,Wake Island ,John Farrow
Directing,1942,nominated,Yankee Doodle Dandy ,Michael Curtiz
Documentary,1942,nominated,"Africa, Prelude to Victory ",The March of Time
Documentary,1942,won,The Battle of Midway ,United States Navy
Documentary,1942,nominated,Combat Report ,United States Army Signal Corps
Documentary,1942,nominated,Conquer by the Clock ,"Frederic Ullman, Jr., Producer"
Documentary,1942,nominated,The Grain That Built a Hemisphere ,"Walt Disney, Producer"
Documentary,1942,nominated,"Henry Browne, Farmer ",United States Department of Agriculture
Documentary,1942,nominated,High over the Borders ,National Film Board of Canada
Documentary,1942,nominated,High Stakes in the East ,The Netherlands Information Bureau
Documentary,1942,nominated,Inside Fighting China ,National Film Board of Canada
Documentary,1942,nominated,It's Everybody's War ,United States Office of War Information
Documentary,1942,won,Kokoda Front Line! ,Australian News & Information Bureau
Documentary,1942,nominated,Listen to Britain ,British Ministry of Information
Documentary,1942,nominated,Little Belgium ,Belgian Ministry of Information
Documentary,1942,nominated,Little Isles of Freedom ,"Victor Stoloff and Edgar Loew, Producers"
Documentary,1942,nominated,Mr. Blabbermouth! ,United States Office of War Information
Documentary,1942,nominated,Mr. Gardenia Jones ,United States Office of War Information
Documentary,1942,won,Moscow Strikes Back ,Artkino
Documentary,1942,nominated,The New Spirit ,"Walt Disney, Producer"
Documentary,1942,won,Prelude to War ,United States Army Special Services
Documentary,1942,nominated,The Price of Victory ,"William H. Pine, Producer"
Documentary,1942,nominated,A Ship Is Born ,United States Merchant Marine
Documentary,1942,nominated,Twenty-One Miles ,British Ministry of Information
Documentary,1942,nominated,We Refuse to Die ,"William C. Thomas, Producer"
Documentary,1942,nominated,White Eagle ,Concanen Films
Documentary,1942,nominated,Winning Your Wings ,United States Army Air Force
Film Editing,1942,nominated,Mrs. Miniver ,Harold F. Kress
Film Editing,1942,won,The Pride of the Yankees ,Daniel Mandell
Film Editing,1942,nominated,The Talk of the Town ,Otto Meyer
Film Editing,1942,nominated,This above All ,Walter Thompson
Film Editing,1942,nominated,Yankee Doodle Dandy ,George Amy
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Arabian Nights ,Frank Skinner
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Bambi ,"Frank Churchill, Edward Plumb"
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Black Swan ,Alfred Newman
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Corsican Brothers ,Dimitri Tiomkin
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Flying Tigers ,Victor Young
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Gold Rush ,Max Terr
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,I Married a Witch ,Roy Webb
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Joan of Paris ,Roy Webb
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Jungle Book ,Miklos Rozsa
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Klondike Fury ,Edward Kay
Music (Music Score of a Dramatic or Comedy Picture),1942,won,"Now, Voyager ",Max Steiner
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Pride of the Yankees ,Leigh Harline
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Random Harvest ,Herbert Stothart
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Shanghai Gesture ,Richard Hageman
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,Silver Queen ,Victor Young
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,"Take a Letter, Darling ",Victor Young
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,The Talk of the Town ,"Frederick Hollander, Morris Stoloff"
Music (Music Score of a Dramatic or Comedy Picture),1942,nominated,To Be or Not to Be ,Werner Heymann
Music (Scoring of a Musical Picture),1942,nominated,Flying with Music ,Edward Ward
Music (Scoring of a Musical Picture),1942,nominated,For Me and My Gal ,"Roger Edens, Georgie Stoll"
Music (Scoring of a Musical Picture),1942,nominated,Holiday Inn ,Robert Emmett Dolan
Music (Scoring of a Musical Picture),1942,nominated,It Started with Eve ,"Hans Salter, Charles Previn"
Music (Scoring of a Musical Picture),1942,nominated,Johnny Doughboy ,Walter Scharf
Music (Scoring of a Musical Picture),1942,nominated,My Gal Sal ,Alfred Newman
Music (Scoring of a Musical Picture),1942,won,Yankee Doodle Dandy ,"Ray Heindorf, Heinz Roemheld"
Music (Scoring of a Musical Picture),1942,nominated,You Were Never Lovelier ,Leigh Harline
Music (Song),1942,nominated,"""Always In My Heart"" from Always in My Heart",Music by Ernesto Lecuona; Lyrics by Kim Gannon
Music (Song),1942,nominated,"""Dearly Beloved"" from You Were Never Lovelier",Music by Jerome Kern; Lyrics by Johnny Mercer
Music (Song),1942,nominated,"""How About You?"" from Babes on Broadway",Music by Burton Lane; Lyrics by Ralph Freed
Music (Song),1942,nominated,"""It Seems I Heard That Song Before"" from Youth on Parade",Music by Jule Styne; Lyrics by Sammy Cahn
Music (Song),1942,nominated,"""I've Got A Gal In Kalamazoo"" from Orchestra Wives",Music by Harry Warren; Lyrics by Mack Gordon
Music (Song),1942,nominated,"""Love Is A Song"" from Bambi",Music by Frank Churchill; Lyrics by Larry Morey
Music (Song),1942,nominated,"""Pennies For Peppino"" from Flying with Music",Music by Edward Ward; Lyrics by Chet Forrest and Bob Wright
Music (Song),1942,nominated,"""Pig Foot Pete"" from Hellzapoppin'",Music by Gene de Paul; Lyrics by Don Raye
Music (Song),1942,nominated,"""There's A Breeze On Lake Louise"" from The Mayor of 44th Street",Music by Harry Revel; Lyrics by Mort Greene
Music (Song),1942,won,"""White Christmas"" from Holiday Inn",Music and Lyrics by Irving Berlin
Outstanding Motion Picture,1942,nominated,The Invaders ,Ortus
Outstanding Motion Picture,1942,nominated,Kings Row ,Warner Brothers
Outstanding Motion Picture,1942,nominated,The Magnificent Ambersons ,Mercury
Outstanding Motion Picture,1942,won,Mrs. Miniver ,Metro-Goldwyn-Mayer
Outstanding Motion Picture,1942,nominated,The Pied Piper ,20th Century-Fox
Outstanding Motion Picture,1942,nominated,The Pride of the Yankees ,Samuel Goldwyn Productions
Outstanding Motion Picture,1942,nominated,Random Harvest ,Metro-Goldwyn-Mayer
Outstanding Motion Picture,1942,nominated,The Talk of the Town ,Columbia
Outstanding Motion Picture,1942,nominated,Wake Island ,Paramount
Outstanding Motion Picture,1942,nominated,Yankee Doodle Dandy ,Warner Brothers
Short Subject (Cartoon),1942,nominated,All Out for 'V' ,20th Century-Fox
Short Subject (Cartoon),1942,nominated,Blitz Wolf ,Metro-Goldwyn-Mayer
Short Subject (Cartoon),1942,won,Der Fuehrer's Face ,"Walt Disney, Producer"
Short Subject (Cartoon),1942,nominated,Juke Box Jamboree ,"Walter Lantz, Producer"
Short Subject (Cartoon),1942,nominated,Pigs in a Polka ,"Leon Schlesinger, Producer"
Short Subject (Cartoon),1942,nominated,Tulips Shall Grow ,"George Pal, Producer"
Short Subject (One Reel),1942,nominated,Desert Wonderland ,20th Century-Fox
Short Subject (One Reel),1942,nominated,Marines in the Making ,"Pete Smith, Producer"
Short Subject (One Reel),1942,won,Speaking of Animals and Their Families ,Paramount
Short Subject (One Reel),1942,nominated,United States Marine Band ,Warner Brothers
Short Subject (Two Reel),1942,won,Beyond the Line of Duty ,Warner Brothers
Short Subject (Two Reel),1942,nominated,Don't Talk ,Metro-Goldwyn-Mayer
Short Subject (Two Reel),1942,nominated,Private Smith of the U.S.A. ,RKO Radio
Sound Recording,1942,nominated,Arabian Nights ,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
Sound Recording,1942,nominated,Bambi ,"Walt Disney Studio Sound Department, Sam Slyfield, Sound Director"
Sound Recording,1942,nominated,Flying Tigers ,"Republic Studio Sound Department, Daniel Bloomberg, Sound Director"
Sound Recording,1942,nominated,Friendly Enemies ,"Sound Service, Inc., Jack Whitney, Sound Director"
Sound Recording,1942,nominated,The Gold Rush ,"RCA Sound, James Fields, Sound Director"
Sound Recording,1942,nominated,Mrs. Miniver ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Sound Recording,1942,nominated,Once upon a Honeymoon ,"RKO Radio Studio Sound Department, Steve Dunn, Sound Director"
Sound Recording,1942,nominated,The Pride of the Yankees ,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director"
Sound Recording,1942,nominated,Road to Morocco ,"Paramount Studio Sound Department, Loren Ryder, Sound Director"
Sound Recording,1942,nominated,This above All ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
Sound Recording,1942,won,Yankee Doodle Dandy ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
Sound Recording,1942,nominated,You Were Never Lovelier ,"Columbia Studio Sound Department, John Livadary, Sound Director"
Special Effects,1942,nominated,The Black Swan ,"Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett"
Special Effects,1942,nominated,Desperate Journey ,Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson
Special Effects,1942,nominated,Flying Tigers ,Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg
Special Effects,1942,nominated,Invisible Agent ,Photographic Effects by John Fulton; Sound Effects by Bernard B. Brown
Special Effects,1942,nominated,Jungle Book ,Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth
Special Effects,1942,nominated,Mrs. Miniver ,"Photographic Effects by A. Arnold Gillespie, Warren Newcombe; Sound Effects by Douglas Shearer"
Special Effects,1942,nominated,The Navy Comes Through ,Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart
Special Effects,1942,nominated,One of Our Aircraft Is Missing ,Photographic Effects by Ronald Neame; Sound Effects by C. C. Stevens
Special Effects,1942,nominated,The Pride of the Yankees ,"Photographic Effects by Jack Cosgrove, Ray Binger; Sound Effects by Thomas T. Moulton"
Special Effects,1942,won,Reap the Wild Wind ,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
Writing (Original Motion Picture Story),1942,nominated,Holiday Inn ,Irving Berlin
Writing (Original Motion Picture Story),1942,won,The Invaders ,Emeric Pressburger
Writing (Original Motion Picture Story),1942,nominated,The Pride of the Yankees ,Paul Gallico
Writing (Original Motion Picture Story),1942,nominated,The Talk of the Town ,Sidney Harmon
Writing (Original Motion Picture Story),1942,nominated,Yankee Doodle Dandy ,Robert Buckner
Writing (Original Screenplay),1942,nominated,One of Our Aircraft Is Missing ,"Michael Powell, Emeric Pressburger"
Writing (Original Screenplay),1942,nominated,Road to Morocco ,"Frank Butler, Don Hartman"
Writing (Original Screenplay),1942,nominated,Wake Island ,"W. R. Burnett, Frank Butler"
Writing (Original Screenplay),1942,nominated,The War against Mrs. Hadley ,George Oppenheimer
Writing (Original Screenplay),1942,won,Woman of the Year ,"Ring Lardner, Jr., Michael Kanin"
Writing (Screenplay),1942,nominated,The Invaders ,"Rodney Ackland, Emeric Pressburger"
Writing (Screenplay),1942,won,Mrs. Miniver ,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
Writing (Screenplay),1942,nominated,The Pride of the Yankees ,"Jo Swerling, Herman J. Mankiewicz"
Writing (Screenplay),1942,nominated,Random Harvest ,"Claudine West, George Froeschel, Arthur Wimperis"
Writing (Screenplay),1942,nominated,The Talk of the Town ,"Irwin Shaw, Sidney Buchman"
Special Award,1942,won,Charles Boyer,
Special Award,1942,won,Noel Coward,In Which We Serve
Special Award,1942,won,Metro-Goldwyn-Mayer,Andy Hardy
Irving G. Thalberg Memorial Award,1942,won,Sidney Franklin,
Actor,1943,nominated,Humphrey Bogart,Casablanca
Actor,1943,nominated,Gary Cooper,For Whom the Bell Tolls
Actor,1943,won,Paul Lukas,Watch on the Rhine
Actor,1943,nominated,Walter Pidgeon,Madame Curie
Actor,1943,nominated,Mickey Rooney,The Human Comedy
Actor in a Supporting Role,1943,nominated,Charles Bickford,The Song of Bernadette
Actor in a Supporting Role,1943,won,Charles Coburn,The More the Merrier
Actor in a Supporting Role,1943,nominated,J. Carrol Naish,Sahara
Actor in a Supporting Role,1943,nominated,Claude Rains,Casablanca
Actor in a Supporting Role,1943,nominated,Akim Tamiroff,For Whom the Bell Tolls
Actress,1943,nominated,Jean Arthur,The More the Merrier
Actress,1943,nominated,Ingrid Bergman,For Whom the Bell Tolls
Actress,1943,nominated,Joan Fontaine,The Constant Nymph
Actress,1943,nominated,Greer Garson,Madame Curie
Actress,1943,won,Jennifer Jones,The Song of Bernadette
Actress in a Supporting Role,1943,nominated,Gladys Cooper,The Song of Bernadette
Actress in a Supporting Role,1943,nominated,Paulette Goddard,So Proudly We Hail!
Actress in a Supporting Role,1943,won,Katina Paxinou,For Whom the Bell Tolls
Actress in a Supporting Role,1943,nominated,Anne Revere,The Song of Bernadette
Actress in a Supporting Role,1943,nominated,Lucile Watson,Watch on the Rhine
Art Direction (Black and White),1943,nominated,Five Graves to Cairo ,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Bertram Granger"
Art Direction (Black and White),1943,nominated,Flight for Freedom ,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Harley Miller"
Art Direction (Black and White),1943,nominated,Madame Curie ,"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis, Hugh Hunt"
Art Direction (Black and White),1943,nominated,Mission to Moscow ,Art Direction: Carl Weyl; Interior Decoration: George J. Hopkins
Art Direction (Black and White),1943,nominated,The North Star ,Art Direction: Perry Ferguson; Interior Decoration: Howard Bristol
Art Direction (Black and White),1943,won,The Song of Bernadette ,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little"
Art Direction (Color),1943,nominated,For Whom the Bell Tolls ,"Art Direction: Hans Dreier, Haldane Douglas; Interior Decoration: Bertram Granger"
Art Direction (Color),1943,nominated,The Gang's All Here ,"Art Direction: James Basevi, Joseph C. Wright; Interior Decoration: Thomas Little"
Art Direction (Color),1943,won,Phantom of the Opera ,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
Art Direction (Color),1943,nominated,This Is the Army ,"Art Direction: John Hughes, Lt. John Koenig; Interior Decoration: George J. Hopkins"
Art Direction (Color),1943,nominated,Thousands Cheer ,"Art Direction: Cedric Gibbons, Daniel Cathcart; Interior Decoration: Edwin B. Willis, Jacques Mersereau"
Cinematography (Black and White),1943,nominated,Air Force ,"James Wong Howe, Elmer Dyer, Charles Marshall"
Cinematography (Black and White),1943,nominated,Casablanca ,Arthur Edeson
Cinematography (Black and White),1943,nominated,Corvette K-225 ,Tony Gaudio
Cinematography (Black and White),1943,nominated,Five Graves to Cairo ,John Seitz
Cinematography (Black and White),1943,nominated,The Human Comedy ,Harry Stradling
Cinematography (Black and White),1943,nominated,Madame Curie ,Joseph Ruttenberg
Cinematography (Black and White),1943,nominated,The North Star ,James Wong Howe
Cinematography (Black and White),1943,nominated,Sahara ,Rudolph Maté
Cinematography (Black and White),1943,nominated,So Proudly We Hail! ,Charles Lang
Cinematography (Black and White),1943,won,The Song of Bernadette ,Arthur Miller
Cinematography (Color),1943,nominated,For Whom the Bell Tolls ,Ray Rennahan
Cinematography (Color),1943,nominated,Heaven Can Wait ,Edward Cronjager
Cinematography (Color),1943,nominated,"Hello, Frisco, Hello ","Charles G. Clarke, Allen Davey"
Cinematography (Color),1943,nominated,Lassie Come Home ,Leonard Smith
Cinematography (Color),1943,won,Phantom of the Opera ,"Hal Mohr, W. Howard Greene"
Cinematography (Color),1943,nominated,Thousands Cheer ,George Folsey
Directing,1943,won,Casablanca ,Michael Curtiz
Directing,1943,nominated,Heaven Can Wait ,Ernst Lubitsch
Directing,1943,nominated,The Human Comedy ,Clarence Brown
Directing,1943,nominated,The More the Merrier ,George Stevens
Directing,1943,nominated,The Song of Bernadette ,Henry King
Documentary (Feature),1943,nominated,Baptism of Fire ,United States Army
Documentary (Feature),1943,nominated,The Battle of Russia ,United States Department of War Special Service Division
Documentary (Feature),1943,won,Desert Victory ,British Ministry of Information
Documentary (Feature),1943,nominated,For God and Country ,United States Army Pictorial Service
Documentary (Feature),1943,nominated,Report from the Aleutians ,United States Army Pictorial Service
Documentary (Feature),1943,nominated,Silent Village ,British Ministry of Information
Documentary (Feature),1943,nominated,War Department Report ,United States Office of Strategic Services Field Photographic Bureau
Documentary (Feature),1943,nominated,"We've Come a Long, Long Way ","Negro Marches On, Inc."
Documentary (Short Subject),1943,nominated,Bismarck Convoy Smashed ,Australian Department of Information Film Unit
Documentary (Short Subject),1943,nominated,Children of Mars ,RKO Radio
Documentary (Short Subject),1943,nominated,Day of Battle ,United States Office of War Information Domestic Motion Picture Bureau
Documentary (Short Subject),1943,won,December 7th ,United States Navy
Documentary (Short Subject),1943,nominated,The Dutch Tradition ,National Film Board of Canada
Documentary (Short Subject),1943,nominated,Kill or Be Killed ,British Ministry of Information
Documentary (Short Subject),1943,nominated,The Labor Front ,National Film Board of Canada
Documentary (Short Subject),1943,nominated,Land of My Mother ,Polish Information Centre
Documentary (Short Subject),1943,nominated,Letter from Livingston ,United States Army 4th Signal Photographic Unit
Documentary (Short Subject),1943,nominated,Life Line ,United States Army Pictorial Service
Documentary (Short Subject),1943,nominated,Plan for Destruction ,Metro-Goldwyn-Mayer
Documentary (Short Subject),1943,nominated,The Rear Gunner ,United States Department of War
Documentary (Short Subject),1943,nominated,Servant of a Nation ,Union of South Africa
Documentary (Short Subject),1943,nominated,Swedes in America ,United States Office of War Information Overseas Motion Picture Bureau
Documentary (Short Subject),1943,nominated,Task Force ,United States Coast Guard
Documentary (Short Subject),1943,nominated,To the People of the United States ,"Walter Wanger, Producer"
Documentary (Short Subject),1943,nominated,Tomorrow We Fly ,United States Navy Bureau of Aeronautics
Documentary (Short Subject),1943,nominated,The Voice That Thrilled the World ,Warner Brothers
Documentary (Short Subject),1943,nominated,Water--Friend or Enemy ,"Walt Disney, Producer"
Documentary (Short Subject),1943,nominated,Wings Up ,United States Army Air Force 1st Motion Picture Unit
Documentary (Short Subject),1943,nominated,Youth in Crisis ,The March of Time
Film Editing,1943,won,Air Force ,George Amy
Film Editing,1943,nominated,Casablanca ,Owen Marks
Film Editing,1943,nominated,Five Graves to Cairo ,Doane Harrison
Film Editing,1943,nominated,For Whom the Bell Tolls ,"Sherman Todd, John Link"
Film Editing,1943,nominated,The Song of Bernadette ,Barbara McLean
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,The Amazing Mrs. Holliday ,"Frank Skinner, Hans J. Salter"
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Casablanca ,Max Steiner
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Commandos Strike at Dawn ,"Morris Stoloff, Louis Gruenberg"
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,The Fallen Sparrow ,"Roy Webb, C. Bakaleinikoff"
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,For Whom the Bell Tolls ,Victor Young
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Hangmen Also Die ,Hanns Eisler
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Hi Diddle Diddle ,Phil Boutelje
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,In Old Oklahoma ,Walter Scharf
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Johnny Come Lately ,Leigh Harline
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,The Kansan ,Gerard Carbonara
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Lady of Burlesque ,Arthur Lange
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Madame Curie ,Herbert Stothart
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,The Moon and Sixpence ,Dimitri Tiomkin
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,The North Star ,Aaron Copland
Music (Music Score of a Dramatic or Comedy Picture),1943,won,The Song of Bernadette ,Alfred Newman
Music (Music Score of a Dramatic or Comedy Picture),1943,nominated,Victory through Air Power ,"Edward H. Plumb, Paul J. Smith, Oliver G. Wallace"
Music (Scoring of a Musical Picture),1943,nominated,Coney Island ,Alfred Newman
Music (Scoring of a Musical Picture),1943,nominated,Hit Parade of 1943 ,Walter Scharf
Music (Scoring of a Musical Picture),1943,nominated,Phantom of the Opera ,Edward Ward
Music (Scoring of a Musical Picture),1943,nominated,Saludos Amigos ,"Charles Wolcott, Edward H. Plumb, Paul J. Smith"
Music (Scoring of a Musical Picture),1943,nominated,The Sky's the Limit ,Leigh Harline
Music (Scoring of a Musical Picture),1943,nominated,Something to Shout About ,Morris Stoloff
Music (Scoring of a Musical Picture),1943,nominated,Stage Door Canteen ,Frederic E. Rich
Music (Scoring of a Musical Picture),1943,nominated,Star Spangled Rhythm ,Robert Emmett Dolan
Music (Scoring of a Musical Picture),1943,won,This Is the Army ,Ray Heindorf
Music (Scoring of a Musical Picture),1943,nominated,Thousands Cheer ,Herbert Stothart
Music (Song),1943,nominated,"""A Change Of Heart"" from Hit Parade of 1943",Music by Jule Styne; Lyrics by Harold Adamson
Music (Song),1943,nominated,"""Happiness Is A Thing Called Joe"" from Cabin in the Sky",Music by Harold Arlen; Lyrics by E. Y. Harburg
Music (Song),1943,nominated,"""My Shining Hour"" from The Sky's the Limit",Music by Harold Arlen; Lyrics by Johnny Mercer
Music (Song),1943,nominated,"""Saludos Amigos"" from Saludos Amigos",Music by Charles Wolcott; Lyrics by Ned Washington
Music (Song),1943,nominated,"""Say A Pray'r For The Boys Over There"" from Hers to Hold",Music by Jimmy McHugh; Lyrics by Herb Magidson
Music (Song),1943,nominated,"""That Old Black Magic"" from Star Spangled Rhythm",Music by Harold Arlen; Lyrics by Johnny Mercer
Music (Song),1943,nominated,"""They're Either Too Young Or Too Old"" from Thank Your Lucky Stars",Music by Arthur Schwartz; Lyrics by Frank Loesser
Music (Song),1943,nominated,"""We Mustn't Say Goodbye"" from Stage Door Canteen",Music by James Monaco; Lyrics by Al Dubin
Music (Song),1943,nominated,"""You'd Be So Nice To Come Home To"" from Something to Shout About",Music and Lyrics by Cole Porter
Music (Song),1943,won,"""You'll Never Know"" from Hello, Frisco, Hello",Music by Harry Warren; Lyrics by Mack Gordon
Outstanding Motion Picture,1943,won,Casablanca ,Warner Brothers
Outstanding Motion Picture,1943,nominated,For Whom the Bell Tolls ,Paramount
Outstanding Motion Picture,1943,nominated,Heaven Can Wait ,20th Century-Fox
Outstanding Motion Picture,1943,nominated,The Human Comedy ,Metro-Goldwyn-Mayer
Outstanding Motion Picture,1943,nominated,In Which We Serve ,Two Cities
Outstanding Motion Picture,1943,nominated,Madame Curie ,Metro-Goldwyn-Mayer
Outstanding Motion Picture,1943,nominated,The More the Merrier ,Columbia
Outstanding Motion Picture,1943,nominated,The Ox-Bow Incident ,20th Century-Fox
