Year,Award,Winning,Name,Film
1929/1930,Directing,nominated,Robert Leonard,The Divorcee
1929/1930,Directing,nominated,Ernst Lubitsch,The Love Parade
1929/1930,Directing,won,Lewis Milestone,All Quiet on the Western Front
1929/1930,Directing,nominated,King Vidor,Hallelujah
1929/1930,Outstanding Production,won,All Quiet on the Western Front ,Universal
1929/1930,Outstanding Production,nominated,The Big House ,Cosmopolitan
1929/1930,Outstanding Production,nominated,Disraeli ,Warner Brothers
1929/1930,Outstanding Production,nominated,The Divorcee ,Metro-Goldwyn-Mayer
1929/1930,Outstanding Production,nominated,The Love Parade ,Paramount Famous Lasky
1929/1930,Sound Recording,won,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/1930,Sound Recording,nominated,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1929/1930,Sound Recording,nominated,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1929/1930,Sound Recording,nominated,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1929/1930,Sound Recording,nominated,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
1929/1930,Writing,nominated,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
1929/1930,Writing,won,The Big House ,Frances Marion
1929/1930,Writing,nominated,Disraeli ,(Julian Josephson)
1929/1930,Writing,nominated,The Divorcee ,(John Meehan)
1929/1930,Writing,nominated,Street of Chance ,(Howard Estabrook)
1930/1931,Actor,won,Lionel Barrymore,A Free Soul
1930/1931,Actor,nominated,Jackie Cooper,Skippy
1930/1931,Actor,nominated,Richard Dix,Cimarron
1930/1931,Actor,nominated,Fredric March,The Royal Family of Broadway
1930/1931,Actor,nominated,Adolphe Menjou,The Front Page
1930/1931,Actress,nominated,Marlene Dietrich,Morocco
1930/1931,Actress,won,Marie Dressler,Min and Bill
1930/1931,Actress,nominated,Irene Dunne,Cimarron
1930/1931,Actress,nominated,Ann Harding,Holiday
1930/1931,Actress,nominated,Norma Shearer,A Free Soul
1930/1931,Art Direction,won,Cimarron ,Max Rée
1930/1931,Art Direction,nominated,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
1930/1931,Art Direction,nominated,Morocco ,Hans Dreier
1930/1931,Art Direction,nominated,Svengali ,Anton Grot
1930/1931,Art Direction,nominated,Whoopee! ,Richard Day
1930/1931,Cinematography,nominated,Cimarron ,Edward Cronjager
1930/1931,Cinematography,nominated,Morocco ,Lee Garmes
1930/1931,Cinematography,nominated,The Right to Love ,Charles Lang
1930/1931,Cinematography,nominated,Svengali ,Barney Chick McGill
1930/1931,Cinematography,won,Tabu ,Floyd Crosby
1930/1931,Directing,nominated,Cimarron ,Wesley Ruggles
1930/1931,Directing,nominated,A Free Soul ,Clarence Brown
1930/1931,Directing,nominated,The Front Page ,Lewis Milestone
1930/1931,Directing,nominated,Morocco ,Josef Von Sternberg
1930/1931,Directing,won,Skippy ,Norman Taurog
1930/1931,Outstanding Production,won,Cimarron ,RKO Radio
1930/1931,Outstanding Production,nominated,East Lynne ,Fox
1930/1931,Outstanding Production,nominated,The Front Page ,The Caddo Company
1930/1931,Outstanding Production,nominated,Skippy ,Paramount Publix
1930/1931,Outstanding Production,nominated,Trader Horn ,Metro-Goldwyn-Mayer
1930/1931,Sound Recording,nominated,Samuel Goldwyn - United Artists Studio Sound Department,
1930/1931,Sound Recording,nominated,Metro-Goldwyn-Mayer Studio Sound Department,
1930/1931,Sound Recording,won,Paramount Publix Studio Sound Department,
1930/1931,Sound Recording,nominated,RKO Radio Studio Sound Department,
1930/1931,Writing (Adaptation),won,Cimarron ,Howard Estabrook
1930/1931,Writing (Adaptation),nominated,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
1930/1931,Writing (Adaptation),nominated,Holiday ,Horace Jackson
1930/1931,Writing (Adaptation),nominated,Little Caesar ,"Francis Faragoh, Robert N. Lee"
1930/1931,Writing (Adaptation),nominated,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
1930/1931,Writing (Original Story),won,The Dawn Patrol ,John Monk Saunders
1930/1931,Writing (Original Story),nominated,The Doorway to Hell ,Rowland Brown
1930/1931,Writing (Original Story),nominated,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1930/1931,Writing (Original Story),nominated,The Public Enemy ,"John Bright, Kubec Glasmon"
1930/1931,Writing (Original Story),nominated,Smart Money ,"Lucien Hubbard, Joseph Jackson"
1931/1932,Actor,won,Wallace Beery,The Champ
1931/1932,Actor,nominated,Alfred Lunt,The Guardsman
1931/1932,Actor,won,Fredric March,Dr. Jekyll and Mr. Hyde
1931/1932,Actress,nominated,Marie Dressler,Emma
1931/1932,Actress,nominated,Lynn Fontanne,The Guardsman
1931/1932,Actress,won,Helen Hayes,The Sin of Madelon Claudet
1931/1932,Art Direction,nominated,À Nous la Liberté ,Lazare Meerson
1931/1932,Art Direction,nominated,Arrowsmith ,Richard Day
1931/1932,Art Direction,won,Transatlantic ,Gordon Wiles
1931/1932,Cinematography,nominated,Arrowsmith ,Ray June
1931/1932,Cinematography,nominated,Dr. Jekyll and Mr. Hyde ,Karl Struss
1931/1932,Cinematography,won,Shanghai Express ,Lee Garmes
1931/1932,Directing,won,Bad Girl ,Frank Borzage
1931/1932,Directing,nominated,The Champ ,King Vidor
1931/1932,Directing,nominated,Shanghai Express ,Josef Von Sternberg
1931/1932,Outstanding Production,nominated,Arrowsmith ,Samuel Goldwyn Productions
1931/1932,Outstanding Production,nominated,Bad Girl ,Fox
1931/1932,Outstanding Production,nominated,The Champ ,Metro-Goldwyn-Mayer
1931/1932,Outstanding Production,nominated,Five Star Final ,First National
1931/1932,Outstanding Production,won,Grand Hotel ,Metro-Goldwyn-Mayer
1931/1932,Outstanding Production,nominated,One Hour with You ,Paramount Publix
1931/1932,Outstanding Production,nominated,Shanghai Express ,Paramount Publix
