Year,Award,Winning,Name,Film
1952,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Thief ,Herschel Burke Gilbert
1952,Music (Music Score of a Dramatic or Comedy Picture),nominated,Viva Zapata! ,Alex North
1952,Music (Scoring of a Musical Picture),nominated,Hans Christian Andersen ,Walter Scharf
1952,Music (Scoring of a Musical Picture),nominated,The Jazz Singer ,"Ray Heindorf, Max Steiner"
1952,Music (Scoring of a Musical Picture),nominated,The Medium ,Gian-Carlo Menotti
1952,Music (Scoring of a Musical Picture),nominated,Singin' in the Rain ,Lennie Hayton
1952,Music (Scoring of a Musical Picture),won,With a Song in My Heart ,Alfred Newman
1952,Music (Song),nominated,"""Am I In Love"" from Son of Paleface",Music and Lyrics by Jack Brooks
1952,Music (Song),nominated,"""Because You're Mine"" from Because You're Mine",Music by Nicholas Brodszky; Lyrics by Sammy Cahn
1952,Music (Song),won,"""High Noon (Do Not Forsake Me, Oh My Darlin')"" from High Noon",Music by Dimitri Tiomkin; Lyrics by Ned Washington
1952,Music (Song),nominated,"""Thumbelina"" from Hans Christian Andersen",Music and Lyrics by Frank Loesser
1952,Music (Song),nominated,"""Zing A Little Zong"" from Just for You",Music by Harry Warren; Lyrics by Leo Robin
1952,Best Motion Picture,won,The Greatest Show on Earth ,"Cecil B. DeMille, Producer"
1952,Best Motion Picture,nominated,High Noon ,"Stanley Kramer, Producer"
1952,Best Motion Picture,nominated,Ivanhoe ,"Pandro S. Berman, Producer"
1952,Best Motion Picture,nominated,Moulin Rouge ,Romulus Films
1952,Best Motion Picture,nominated,The Quiet Man ,"John Ford and Merian C. Cooper, Producers"
1952,Short Subject (Cartoon),won,Johann Mouse ,"Fred Quimby, Producer"
1952,Short Subject (Cartoon),nominated,Little Johnny Jet ,"Fred Quimby, Producer"
1952,Short Subject (Cartoon),nominated,Madeline ,"Stephen Bosustow, Executive Producer"
1952,Short Subject (Cartoon),nominated,Pink and Blue Blues ,"Stephen Bosustow, Executive Producer"
1952,Short Subject (Cartoon),nominated,Romance of Transportation ,"Tom Daly, Producer"
1952,Short Subject (One Reel),nominated,Athletes of the Saddle ,"Jack Eaton, Producer"
1952,Short Subject (One Reel),nominated,Desert Killer ,"Gordon Hollingshead, Producer"
1952,Short Subject (One Reel),won,Light in the Window: The Art of Vermeer ,"Boris Vermont, Producer"
1952,Short Subject (One Reel),nominated,Neighbours ,"Norman McLaren, Producer"
1952,Short Subject (One Reel),nominated,Royal Scotland ,Crown Film Unit
1952,Short Subject (Two Reel),nominated,Bridge of Time ,London Film Production
1952,Short Subject (Two Reel),nominated,Devil Take Us ,"Herbert Morgan, Producer"
1952,Short Subject (Two Reel),nominated,Thar She Blows! ,"Gordon Hollingshead, Producer"
1952,Short Subject (Two Reel),won,Water Birds ,"Walt Disney, Producer"
1952,Sound Recording,won,Breaking the Sound Barrier ,London Film Sound Department
1952,Sound Recording,nominated,Hans Christian Andersen ,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director"
1952,Sound Recording,nominated,The Promoter ,Pinewood Studios Sound Department
1952,Sound Recording,nominated,The Quiet Man ,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director"
1952,Sound Recording,nominated,With a Song in My Heart ,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1952,Special Effects,won,Plymouth Adventure ,Metro-Goldwyn-Mayer
1952,Writing (Motion Picture Story),won,The Greatest Show on Earth ,"Fredric M. Frank, Theodore St. John, Frank Cavett"
1952,Writing (Motion Picture Story),nominated,My Son John ,Leo McCarey
1952,Writing (Motion Picture Story),nominated,The Narrow Margin ,"Martin Goldsmith, Jack Leonard"
1952,Writing (Motion Picture Story),nominated,The Pride of St. Louis ,Guy Trosper
1952,Writing (Motion Picture Story),nominated,The Sniper ,"Edna Anhalt, Edward Anhalt"
1952,Writing (Screenplay),won,The Bad and the Beautiful ,Charles Schnee
1952,Writing (Screenplay),nominated,Five Fingers ,Michael Wilson
1952,Writing (Screenplay),nominated,High Noon ,Carl Foreman
1952,Writing (Screenplay),nominated,The Man in the White Suit ,"Roger MacDougall, John Dighton, Alexander Mackendrick"
1952,Writing (Screenplay),nominated,The Quiet Man ,Frank S. Nugent
1952,Writing (Story and Screenplay),nominated,The Atomic City ,Sydney Boehm
1952,Writing (Story and Screenplay),nominated,Breaking the Sound Barrier ,Terence Rattigan
1952,Writing (Story and Screenplay),won,The Lavender Hill Mob ,T. E. B. Clarke
1952,Writing (Story and Screenplay),nominated,Pat and Mike ,"Ruth Gordon, Garson Kanin"
1952,Writing (Story and Screenplay),nominated,Viva Zapata! ,John Steinbeck
1952,Honorary Foreign Language Film Award,won,Forbidden Games - Best Foreign Language Film first released in the United States during 1952.,
1952,Honorary Award,won,George Alfred Mitchell,
1952,Honorary Award,won,Joseph M. Schenck,
1952,Honorary Award,won,Merian C. Cooper,
1952,Honorary Award,won,Harold Lloyd,
1952,Honorary Award,won,Bob Hope,
1952,Irving G. Thalberg Memorial Award,won,Cecil B. DeMille,
1953,Actor,nominated,Marlon Brando,Julius Caesar
1953,Actor,nominated,Richard Burton,The Robe
1953,Actor,nominated,Montgomery Clift,From Here to Eternity
1953,Actor,won,William Holden,Stalag 17
1953,Actor,nominated,Burt Lancaster,From Here to Eternity
1953,Actor in a Supporting Role,nominated,Eddie Albert,Roman Holiday
1953,Actor in a Supporting Role,nominated,Brandon De Wilde,Shane
1953,Actor in a Supporting Role,nominated,Jack Palance,Shane
1953,Actor in a Supporting Role,won,Frank Sinatra,From Here to Eternity
1953,Actor in a Supporting Role,nominated,Robert Strauss,Stalag 17
1953,Actress,nominated,Leslie Caron,Lili
1953,Actress,nominated,Ava Gardner,Mogambo
1953,Actress,won,Audrey Hepburn,Roman Holiday
1953,Actress,nominated,Deborah Kerr,From Here to Eternity
1953,Actress,nominated,Maggie McNamara,The Moon Is Blue
1953,Actress in a Supporting Role,nominated,Grace Kelly,Mogambo
1953,Actress in a Supporting Role,nominated,Geraldine Page,Hondo
1953,Actress in a Supporting Role,nominated,Marjorie Rambeau,Torch Song
1953,Actress in a Supporting Role,won,Donna Reed,From Here to Eternity
1953,Actress in a Supporting Role,nominated,Thelma Ritter,Pickup on South Street
1953,Art Direction (Black and White),won,Julius Caesar ,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt"
1953,Art Direction (Black and White),nominated,Martin Luther ,"Art Direction: Fritz Maurischat, Paul Markwitz"
1953,Art Direction (Black and White),nominated,The President's Lady ,"Art Direction: Lyle Wheeler, Leland Fuller; Set Decoration: Paul S. Fox"
1953,Art Direction (Black and White),nominated,Roman Holiday ,"Art Direction: Hal Pereira, Walter Tyler"
1953,Art Direction (Black and White),nominated,Titanic ,"Art Direction: Lyle Wheeler, Maurice Ransford; Set Decoration: Stuart Reiss"
1953,Art Direction (Color),nominated,Knights of the Round Table ,"Art Direction: Alfred Junge, Hans Peters; Set Decoration: John Jarvis"
1953,Art Direction (Color),nominated,Lili ,"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Arthur Krams"
1953,Art Direction (Color),won,The Robe ,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox"
1953,Art Direction (Color),nominated,The Story of Three Loves ,"Art Direction: Cedric Gibbons, Preston Ames, Edward Carfagno, Gabriel Scognamillo; Set Decoration: Edwin B. Willis, Keogh Gleason, Arthur Krams, Jack D. Moore"
1953,Art Direction (Color),nominated,Young Bess ,"Art Direction: Cedric Gibbons, Urie McCleary; Set Decoration: Edwin B. Willis, Jack D. Moore"
1953,Cinematography (Black and White),nominated,The Four Poster ,Hal Mohr
1953,Cinematography (Black and White),won,From Here to Eternity ,Burnett Guffey
1953,Cinematography (Black and White),nominated,Julius Caesar ,Joseph Ruttenberg
1953,Cinematography (Black and White),nominated,Martin Luther ,Joseph C. Brun
1953,Cinematography (Black and White),nominated,Roman Holiday ,"Frank Planer, Henri Alekan"
1953,Cinematography (Color),nominated,All the Brothers Were Valiant ,George Folsey
1953,Cinematography (Color),nominated,Beneath the 12-Mile Reef ,Edward Cronjager
1953,Cinematography (Color),nominated,Lili ,Robert Planck
1953,Cinematography (Color),nominated,The Robe ,Leon Shamroy
1953,Cinematography (Color),won,Shane ,Loyal Griggs
1953,Costume Design (Black and White),nominated,The Actress ,Walter Plunkett
1953,Costume Design (Black and White),nominated,Dream Wife ,"Helen Rose, Herschel McCoy"
1953,Costume Design (Black and White),nominated,From Here to Eternity ,Jean Louis
1953,Costume Design (Black and White),nominated,The President's Lady ,"Charles LeMaire, Renie"
1953,Costume Design (Black and White),won,Roman Holiday ,Edith Head
1953,Costume Design (Color),nominated,The Band Wagon ,Mary Ann Nyberg
1953,Costume Design (Color),nominated,Call Me Madam ,Irene Sharaff
1953,Costume Design (Color),nominated,How to Marry a Millionaire ,"Charles LeMaire, Travilla"
1953,Costume Design (Color),won,The Robe ,"Charles LeMaire, Emile Santiago"
1953,Costume Design (Color),nominated,Young Bess ,Walter Plunkett
1953,Directing,won,From Here to Eternity ,Fred Zinnemann
1953,Directing,nominated,Lili ,Charles Walters
1953,Directing,nominated,Roman Holiday ,William Wyler
1953,Directing,nominated,Shane ,George Stevens
1953,Directing,nominated,Stalag 17 ,Billy Wilder
1953,Documentary (Feature),nominated,The Conquest of Everest ,"John Taylor, Leon Clore and Grahame Tharp, Producers"
1953,Documentary (Feature),won,The Living Desert ,"Walt Disney, Producer"
1953,Documentary (Feature),nominated,A Queen Is Crowned ,"Castleton Knight, Producer"
1953,Documentary (Short Subject),won,The Alaskan Eskimo ,"Walt Disney, Producer"
1953,Documentary (Short Subject),nominated,The Living City ,"John Barnes, Producer"
1953,Documentary (Short Subject),nominated,Operation Blue Jay ,United States Army Signal Corps
1953,Documentary (Short Subject),nominated,They Planted a Stone ,"James Carr, Producer"
1953,Documentary (Short Subject),nominated,The Word ,"John Healy and John Adams, Producers"
1953,Film Editing,nominated,Crazylegs ,Irvine (Cotton) Warburton
1953,Film Editing,won,From Here to Eternity ,William Lyon
1953,Film Editing,nominated,The Moon Is Blue ,Otto Ludwig
1953,Film Editing,nominated,Roman Holiday ,Robert Swink
1953,Film Editing,nominated,The War of the Worlds ,Everett Douglas
1953,Music (Music Score of a Dramatic or Comedy Picture),nominated,Above and Beyond ,Hugo Friedhofer
1953,Music (Music Score of a Dramatic or Comedy Picture),nominated,From Here to Eternity ,"Morris Stoloff, George Duning"
1953,Music (Music Score of a Dramatic or Comedy Picture),nominated,Julius Caesar ,Miklos Rozsa
1953,Music (Music Score of a Dramatic or Comedy Picture),won,Lili ,Bronislau Kaper
1953,Music (Music Score of a Dramatic or Comedy Picture),nominated,This Is Cinerama ,Louis Forbes
1953,Music (Scoring of a Musical Picture),nominated,The Band Wagon ,Adolph Deutsch
1953,Music (Scoring of a Musical Picture),nominated,Calamity Jane ,Ray Heindorf
1953,Music (Scoring of a Musical Picture),won,Call Me Madam ,Alfred Newman
1953,Music (Scoring of a Musical Picture),nominated,"The 5,000 Fingers of Dr. T ","Frederick Hollander, Morris Stoloff"
1953,Music (Scoring of a Musical Picture),nominated,Kiss Me Kate ,"Andre Previn, Saul Chaplin"
1953,Music (Song),nominated,"""The Moon Is Blue"" from The Moon Is Blue",Music by Herschel Burke Gilbert; Lyrics by Sylvia Fine
1953,Music (Song),nominated,"""My Flaming Heart"" from Small Town Girl",Music by Nicholas Brodszky; Lyrics by Leo Robin
1953,Music (Song),nominated,"""Sadie Thompson's Song (Blue Pacific Blues)"" from Miss Sadie Thompson",Music by Lester Lee; Lyrics by Ned Washington
1953,Music (Song),won,"""Secret Love"" from Calamity Jane",Music by Sammy Fain; Lyrics by Paul Francis Webster
1953,Music (Song),nominated,"""That's Amore"" from The Caddy",Music by Harry Warren; Lyrics by Jack Brooks
1953,Best Motion Picture,won,From Here to Eternity ,"Buddy Adler, Producer"
1953,Best Motion Picture,nominated,Julius Caesar ,"John Houseman, Producer"
1953,Best Motion Picture,nominated,The Robe ,"Frank Ross, Producer"
1953,Best Motion Picture,nominated,Roman Holiday ,"William Wyler, Producer"
1953,Best Motion Picture,nominated,Shane ,"George Stevens, Producer"
1953,Short Subject (Cartoon),nominated,Christopher Crumpet ,"Stephen Bosustow, Producer"
1953,Short Subject (Cartoon),nominated,From A to Z-Z-Z-Z ,"Edward Selzer, Producer"
1953,Short Subject (Cartoon),nominated,Rugged Bear ,"Walt Disney, Producer"
1953,Short Subject (Cartoon),nominated,The Tell Tale Heart ,"Stephen Bosustow, Producer"
1953,Short Subject (Cartoon),won,"Toot, Whistle, Plunk and Boom ","Walt Disney, Producer"
1953,Short Subject (One Reel),nominated,Christ among the Primitives ,"Vincenzo Lucci-Chiarissi, Producer"
1953,Short Subject (One Reel),nominated,Herring Hunt ,National Film Board of Canada
1953,Short Subject (One Reel),nominated,Joy of Living ,"Boris Vermont, Producer"
1953,Short Subject (One Reel),won,The Merry Wives of Windsor Overture ,"Johnny Green, Producer"
1953,Short Subject (One Reel),nominated,Wee Water Wonders ,"Jack Eaton, Producer"
1953,Short Subject (Two Reel),won,Bear Country ,"Walt Disney, Producer"
1953,Short Subject (Two Reel),nominated,Ben and Me ,"Walt Disney, Producer"
1953,Short Subject (Two Reel),nominated,Return to Glennascaul ,Dublin Gate Theatre Productions
1953,Short Subject (Two Reel),nominated,Vesuvius Express ,"Otto Lang, Producer"
1953,Short Subject (Two Reel),nominated,Winter Paradise ,"Cedric Francis, Producer"
1953,Sound Recording,nominated,Calamity Jane ,"Warner Brothers Studio Sound Department, William A. Mueller, Sound Director"
1953,Sound Recording,won,From Here to Eternity ,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1953,Sound Recording,nominated,Knights of the Round Table ,"Metro-Goldwyn-Mayer Studio Sound Department, A. W. Watkins, Sound Director"
1953,Sound Recording,nominated,The Mississippi Gambler ,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
1953,Sound Recording,nominated,The War of the Worlds ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1953,Special Effects,won,The War of the Worlds ,Paramount Studio
1953,Writing (Motion Picture Story),nominated,Above and Beyond ,"Beirne Lay, Jr."
1953,Writing (Motion Picture Story),nominated,The Captain's Paradise ,Alec Coppel
1953,Writing (Motion Picture Story),nominated,Hondo ,Louis L'Amour
1953,Writing (Motion Picture Story),nominated,Little Fugitive ,"Ray Ashley, Morris Engel, Ruth Orkin"
1953,Writing (Motion Picture Story),won,Roman Holiday ,Dalton Trumbo
1953,Writing (Screenplay),nominated,The Cruel Sea ,Eric Ambler
1953,Writing (Screenplay),won,From Here to Eternity ,Daniel Taradash
1953,Writing (Screenplay),nominated,Lili ,Helen Deutsch
1953,Writing (Screenplay),nominated,Roman Holiday ,"Ian McLellan Hunter, John Dighton"
1953,Writing (Screenplay),nominated,Shane ,"A. B. Guthrie, Jr."
1953,Writing (Story and Screenplay),nominated,The Band Wagon ,"Betty Comden, Adolph Green"
1953,Writing (Story and Screenplay),nominated,The Desert Rats ,Richard Murphy
1953,Writing (Story and Screenplay),nominated,The Naked Spur ,"Sam Rolfe, Harold Jack Bloom"
1953,Writing (Story and Screenplay),nominated,Take the High Ground ,Millard Kaufman
1953,Writing (Story and Screenplay),won,Titanic ,"Charles Brackett, Walter Reisch, Richard Breen"
1953,Honorary Award,won,Pete Smith,
1953,Honorary Award,won,20th Century-Fox Film Corporation,
1953,Honorary Award,won,Joseph I. Breen,
1953,Honorary Award,won,Bell and Howell Company,
1953,Irving G. Thalberg Memorial Award,won,George Stevens,
1954,Actor,nominated,Humphrey Bogart,The Caine Mutiny
1954,Actor,won,Marlon Brando,On the Waterfront
1954,Actor,nominated,Bing Crosby,The Country Girl
1954,Actor,nominated,James Mason,A Star Is Born
1954,Actor,nominated,Dan O'Herlihy,Adventures of Robinson Crusoe
1954,Actor in a Supporting Role,nominated,Lee J. Cobb,On the Waterfront
1954,Actor in a Supporting Role,nominated,Karl Malden,On the Waterfront
1954,Actor in a Supporting Role,won,Edmond O'Brien,The Barefoot Contessa
1954,Actor in a Supporting Role,nominated,Rod Steiger,On the Waterfront
1954,Actor in a Supporting Role,nominated,Tom Tully,The Caine Mutiny
1954,Actress,nominated,Dorothy Dandridge,Carmen Jones
1954,Actress,nominated,Judy Garland,A Star Is Born
1954,Actress,nominated,Audrey Hepburn,Sabrina
1954,Actress,won,Grace Kelly,The Country Girl
1954,Actress,nominated,Jane Wyman,Magnificent Obsession
1954,Actress in a Supporting Role,nominated,Nina Foch,Executive Suite
1954,Actress in a Supporting Role,nominated,Katy Jurado,Broken Lance
1954,Actress in a Supporting Role,won,Eva Marie Saint,On the Waterfront
1954,Actress in a Supporting Role,nominated,Jan Sterling,The High and the Mighty
1954,Actress in a Supporting Role,nominated,Claire Trevor,The High and the Mighty
1954,Art Direction (Black and White),nominated,The Country Girl ,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Grace Gregory"
1954,Art Direction (Black and White),nominated,Executive Suite ,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Emile Kuri"
1954,Art Direction (Black and White),nominated,Le Plaisir ,Max Ophuls
1954,Art Direction (Black and White),won,On the Waterfront ,Richard Day
1954,Art Direction (Black and White),nominated,Sabrina ,"Art Direction: Hal Pereira, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer"
1954,Art Direction (Color),nominated,Brigadoon ,"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason"
1954,Art Direction (Color),nominated,Desiree ,"Art Direction: Lyle Wheeler, Leland Fuller; Set Decoration: Walter M. Scott, Paul S. Fox"
1954,Art Direction (Color),nominated,Red Garters ,"Art Direction: Hal Pereira, Roland Anderson; Set Decoration: Sam Comer, Ray Moyer"
1954,Art Direction (Color),nominated,A Star Is Born ,"Art Direction: Malcolm Bert, Gene Allen, Irene Sharaff; Set Decoration: George James Hopkins"
1954,Art Direction (Color),won,"20,000 Leagues under the Sea ",Art Direction: John Meehan; Set Decoration: Emile Kuri
1954,Cinematography (Black and White),nominated,The Country Girl ,John F. Warren
1954,Cinematography (Black and White),nominated,Executive Suite ,George Folsey
1954,Cinematography (Black and White),won,On the Waterfront ,Boris Kaufman
1954,Cinematography (Black and White),nominated,Rogue Cop ,John Seitz
1954,Cinematography (Black and White),nominated,Sabrina ,"Charles Lang, Jr."
1954,Cinematography (Color),nominated,The Egyptian ,Leon Shamroy
1954,Cinematography (Color),nominated,Rear Window ,Robert Burks
1954,Cinematography (Color),nominated,Seven Brides for Seven Brothers ,George Folsey
1954,Cinematography (Color),nominated,The Silver Chalice ,William V. Skall
1954,Cinematography (Color),won,Three Coins in the Fountain ,Milton Krasner
1954,Costume Design (Black and White),nominated,The Earrings of Madame de... ,"Georges Annenkov, Rosine Delamare"
1954,Costume Design (Black and White),nominated,Executive Suite ,Helen Rose
1954,Costume Design (Black and White),nominated,Indiscretion of an American Wife ,Christian Dior
1954,Costume Design (Black and White),nominated,It Should Happen to You ,Jean Louis
1954,Costume Design (Black and White),won,Sabrina ,Edith Head
1954,Costume Design (Color),nominated,Brigadoon ,Irene Sharaff
1954,Costume Design (Color),nominated,Desiree ,"Charles LeMaire, René Hubert"
1954,Costume Design (Color),won,Gate of Hell ,Sanzo Wada
1954,Costume Design (Color),nominated,A Star Is Born ,"Jean Louis, Mary Ann Nyberg, Irene Sharaff"
1954,Costume Design (Color),nominated,There's No Business Like Show Business ,"Charles LeMaire, Travilla, Miles White"
1954,Directing,nominated,The Country Girl ,George Seaton
1954,Directing,nominated,The High and the Mighty ,William Wellman
1954,Directing,won,On the Waterfront ,Elia Kazan
1954,Directing,nominated,Rear Window ,Alfred Hitchcock
1954,Directing,nominated,Sabrina ,Billy Wilder
1954,Documentary (Feature),nominated,The Stratford Adventure ,"Guy Glover, Producer"
1954,Documentary (Feature),won,The Vanishing Prairie ,"Walt Disney, Producer"
1954,Documentary (Short Subject),nominated,Jet Carrier ,"Otto Lang, Producer"
1954,Documentary (Short Subject),nominated,Rembrandt: A Self-Portrait ,"Morrie Roizman, Producer"
1954,Documentary (Short Subject),won,Thursday's Children ,World Wide Pictures and Morse Films
1954,Film Editing,nominated,The Caine Mutiny ,"William A. Lyon, Henry Batista"
1954,Film Editing,nominated,The High and the Mighty ,Ralph Dawson
1954,Film Editing,won,On the Waterfront ,Gene Milford
1954,Film Editing,nominated,Seven Brides for Seven Brothers ,Ralph E. Winters
1954,Film Editing,nominated,"20,000 Leagues under the Sea ",Elmo Williams
1954,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Caine Mutiny ,Max Steiner
1954,Music (Music Score of a Dramatic or Comedy Picture),nominated,Genevieve ,Larry Adler
1954,Music (Music Score of a Dramatic or Comedy Picture),won,The High and the Mighty ,Dimitri Tiomkin
1954,Music (Music Score of a Dramatic or Comedy Picture),nominated,On the Waterfront ,Leonard Bernstein
1954,Music (Music Score of a Dramatic or Comedy Picture),nominated,The Silver Chalice ,Franz Waxman
1954,Music (Scoring of a Musical Picture),nominated,Carmen Jones ,Herschel Burke Gilbert
1954,Music (Scoring of a Musical Picture),nominated,The Glenn Miller Story ,"Joseph Gershenson, Henry Mancini"
1954,Music (Scoring of a Musical Picture),won,Seven Brides for Seven Brothers ,"Adolph Deutsch, Saul Chaplin"
1954,Music (Scoring of a Musical Picture),nominated,A Star Is Born ,Ray Heindorf
1954,Music (Scoring of a Musical Picture),nominated,There's No Business Like Show Business ,"Alfred Newman, Lionel Newman"
1954,Music (Song),nominated,"""Count Your Blessings Instead Of Sheep"" from White Christmas",Music and Lyrics by Irving Berlin
1954,Music (Song),nominated,"""The High And The Mighty"" from The High and the Mighty",Music by Dimitri Tiomkin; Lyrics by Ned Washington
1954,Music (Song),nominated,"""Hold My Hand"" from Susan Slept Here",Music and Lyrics by Jack Lawrence and Richard Myers
1954,Music (Song),nominated,"""The Man That Got Away"" from A Star Is Born",Music by Harold Arlen; Lyrics by Ira Gershwin
1954,Music (Song),won,"""Three Coins In The Fountain"" from Three Coins in the Fountain",Music by Jule Styne; Lyrics by Sammy Cahn
1954,Best Motion Picture,nominated,The Caine Mutiny ,"Stanley Kramer, Producer"
1954,Best Motion Picture,nominated,The Country Girl ,"William Perlberg, Producer"
1954,Best Motion Picture,won,On the Waterfront ,"Sam Spiegel, Producer"
1954,Best Motion Picture,nominated,Seven Brides for Seven Brothers ,"Jack Cummings, Producer"
1954,Best Motion Picture,nominated,Three Coins in the Fountain ,"Sol C. Siegel, Producer"
1954,Short Subject (Cartoon),nominated,Crazy Mixed Up Pup ,"Walter Lantz, Producer"
1954,Short Subject (Cartoon),nominated,Pigs Is Pigs ,"Walt Disney, Producer"
1954,Short Subject (Cartoon),nominated,Sandy Claws ,"Edward Selzer, Producer"
1954,Short Subject (Cartoon),nominated,"Touché, Pussy Cat ","Fred Quimby, Producer"
1954,Short Subject (Cartoon),won,When Magoo Flew ,"Stephen Bosustow, Producer"
1954,Short Subject (One Reel),nominated,The First Piano Quartette ,"Otto Lang, Producer"
1954,Short Subject (One Reel),nominated,The Strauss Fantasy ,"Johnny Green, Producer"
1954,Short Subject (One Reel),won,This Mechanical Age ,"Robert Youngson, Producer"
1954,Short Subject (Two Reel),nominated,Beauty and the Bull ,"Cedric Francis, Producer"
1954,Short Subject (Two Reel),nominated,Jet Carrier ,"Otto Lang, Producer"
1954,Short Subject (Two Reel),nominated,Siam ,"Walt Disney, Producer"
1954,Short Subject (Two Reel),won,A Time Out of War ,"Denis Sanders and Terry Sanders, Producers"
1954,Sound Recording,nominated,Brigadoon ,"Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller, Sound Director"
1954,Sound Recording,nominated,The Caine Mutiny ,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1954,Sound Recording,won,The Glenn Miller Story ,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director"
1954,Sound Recording,nominated,Rear Window ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1954,Sound Recording,nominated,Susan Slept Here ,"RKO Radio Studio Sound Department, John O. Aalberg, Sound Director"
1954,Special Effects,nominated,Hell and High Water ,20th Century-Fox Studio
1954,Special Effects,nominated,Them! ,Warner Brothers Studio
1954,Special Effects,won,"20,000 Leagues under the Sea ",Walt Disney Studios
1954,Writing (Motion Picture Story),nominated,"Bread, Love and Dreams ",Ettore Margadonna
1954,Writing (Motion Picture Story),won,Broken Lance ,Philip Yordan
1954,Writing (Motion Picture Story),nominated,Forbidden Games ,François Boyer
1954,Writing (Motion Picture Story),nominated,Night People ,"Jed Harris, Tom Reed"
1954,Writing (Motion Picture Story),nominated,There's No Business Like Show Business ,Lamar Trotti
1954,Writing (Screenplay),nominated,The Caine Mutiny ,Stanley Roberts
1954,Writing (Screenplay),won,The Country Girl ,George Seaton
1954,Writing (Screenplay),nominated,Rear Window ,John Michael Hayes
1954,Writing (Screenplay),nominated,Sabrina ,"Billy Wilder, Samuel Taylor, Ernest Lehman"
1954,Writing (Screenplay),nominated,Seven Brides for Seven Brothers ,"Albert Hackett, Frances Goodrich, Dorothy Kingsley"
1954,Writing (Story and Screenplay),nominated,The Barefoot Contessa ,Joseph L. Mankiewicz
1954,Writing (Story and Screenplay),nominated,Genevieve ,William Rose
1954,Writing (Story and Screenplay),nominated,The Glenn Miller Story ,"Valentine Davies, Oscar Brodney"
1954,Writing (Story and Screenplay),nominated,Knock on Wood ,"Norman Panama, Melvin Frank"
1954,Writing (Story and Screenplay),won,On the Waterfront ,Budd Schulberg
1954,Honorary Foreign Language Film Award,won,Gate of Hell,
1954,Honorary Award,won,Bausch & Lomb Optical Company,
1954,Honorary Award,won,Kemp R. Niver,
1954,Honorary Award,won,Greta Garbo,
1954,Honorary Award,won,Danny Kaye,
1954,Honorary Award,won,Jon Whiteley,The Little Kidnappers
1954,Honorary Award,won,Vincent Winter,The Little Kidnappers
1955,Actor,won,Ernest Borgnine,Marty
1955,Actor,nominated,James Cagney,Love Me or Leave Me
1955,Actor,nominated,James Dean,East of Eden
1955,Actor,nominated,Frank Sinatra,The Man with the Golden Arm
1955,Actor,nominated,Spencer Tracy,Bad Day at Black Rock
1955,Actor in a Supporting Role,nominated,Arthur Kennedy,Trial
1955,Actor in a Supporting Role,won,Jack Lemmon,Mister Roberts
1955,Actor in a Supporting Role,nominated,Joe Mantell,Marty
1955,Actor in a Supporting Role,nominated,Sal Mineo,Rebel without a Cause
1955,Actor in a Supporting Role,nominated,Arthur O'Connell,Picnic
1955,Actress,nominated,Susan Hayward,I'll Cry Tomorrow
1955,Actress,nominated,Katharine Hepburn,Summertime
1955,Actress,nominated,Jennifer Jones,Love Is a Many-Splendored Thing
1955,Actress,won,Anna Magnani,The Rose Tattoo
1955,Actress,nominated,Eleanor Parker,Interrupted Melody
1955,Actress in a Supporting Role,nominated,Betsy Blair,Marty
1955,Actress in a Supporting Role,nominated,Peggy Lee,Pete Kelly's Blues
1955,Actress in a Supporting Role,nominated,Marisa Pavan,The Rose Tattoo
1955,Actress in a Supporting Role,won,Jo Van Fleet,East of Eden
1955,Actress in a Supporting Role,nominated,Natalie Wood,Rebel without a Cause
1955,Art Direction (Black and White),nominated,Blackboard Jungle ,"Art Direction: Cedric Gibbons, Randall Duell; Set Decoration: Edwin B. Willis, Henry Grace"
1955,Art Direction (Black and White),nominated,I'll Cry Tomorrow ,"Art Direction: Cedric Gibbons, Malcolm Brown; Set Decoration: Edwin B. Willis, Hugh B. Hunt"
1955,Art Direction (Black and White),nominated,The Man with the Golden Arm ,Art Direction: Joseph C. Wright; Set Decoration: Darrell Silvera
