adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,62000000,Comedy Drama Romance,,9087,tt0112346,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,Columbia Pictures Castle Rock Entertainment,United States of America,1995-11-17,107879496,106.0,English,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,False,6.5,199
False,,0,Comedy Horror,,12110,tt0112896,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Columbia Pictures Castle Rock Entertainment Enigma Pictures,France United States of America,1995-12-22,0,88.0,English Deutsch,Released,,Dracula: Dead and Loving It,False,5.7,210
False,Balto Collection,0,Family Animation Adventure,,21032,tt0112453,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Universal Pictures Amblin Entertainment Amblimation,United States of America,1995-12-22,11348324,78.0,English,Released,Part Dog. Part Wolf. All Hero.,Balto,False,7.1,423
False,,44000000,History Drama,,10858,tt0113987,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Hollywood Pictures Cinergi Pictures Entertainment,United States of America,1995-12-22,13681765,192.0,English,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,False,7.1,72
False,,98000000,Action Adventure,,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+ Laurence Mark Productions Metro-Goldwyn-Mayer (MGM) Carolco Pictures,France Germany Italy United States of America,1995-12-22,10017322,119.0,English Latin,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137
False,,52000000,Drama Crime,,524,tt0112641,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures Légende Entreprises Syalis DA De Fina-Cappa,France United States of America,1995-11-22,116112375,178.0,English,Released,No one stays at the top forever.,Casino,False,7.8,1343
False,,16500000,Drama Romance,,4584,tt0114388,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Columbia Pictures Corporation Mirage Enterprises,United Kingdom United States of America,1995-12-13,135000000,136.0,English,Released,Lose your heart and come to your senses.,Sense and Sensibility,False,7.2,364
False,,4000000,Crime Comedy,,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films A Band Apart,United States of America,1995-12-09,4300000,98.0,English,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539
False,Ace Ventura Collection,30000000,Crime Comedy Adventure,,9273,tt0112281,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,O Entertainment Warner Bros. Morgan Creek Productions,United States of America,1995-11-10,212385533,90.0,English,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,False,6.1,1128
False,,60000000,Action Comedy Crime,,11517,tt0113845,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Columbia Pictures,United States of America,1995-11-21,35431113,103.0,English,Released,"Get on, or GET OUT THE WAY!",Money Train,False,5.4,224
