Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actor	 Reversal of Fortune	1990	3	7.3	111	Biography	Drama	November	93	Wealthy Sunny von Bülow lies brain-dead husband Claus guilty of attempted murder; but he says hes innocent and hires Alan Dershowitz for his appeal.
Actor	 My Left Foot	1989	5	7.9	103	Biography	Drama	April		Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot.
Actor	 Rain Man	1988	8	8	133	Drama		December	65	Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
Actor	 Wall Street	1987	 	7.4	126	Crime	Drama	December	56	A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.
Actor	 The Color of Money	1986	4	7	119	Drama	Sport	October		Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling which in turn inspires him to make an unlikely comeback.
Actor	 Kiss of the Spider Woman	1985	4	7.4	120	Drama	Romance	July	80	Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis a trans individual is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...                See full summary »
Actor	 Amadeus	1984	11	8.3	160	Biography	Drama	October	93	The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
Actor	 Tender Mercies	1983	5	7.5	92	Drama	Music	June		A broken-down middle-aged country singer gets a new wife reaches out to his long-lost daughter and tries to put his troubled life back together.
Actor	 Gandhi	1982	11	8.1	191	Biography	Drama	December		The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Actor	 On Golden Pond	1981	10	7.7	109	Drama		February		Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
Actor	 Raging Bull	1980	8	8.3	129	Biography	Drama	December	92	An emotionally self-destructive boxers journey through life as the violence and temper that leads him to the top in the ring destroys his life outside it.
Actor	 Kramer vs. Kramer	1979	9	7.8	105	Drama		December	77	Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
Actor	 Coming Home	1978	8	7.3	127	Drama	Romance	February		A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
Actor	 The Goodbye Girl	1977	5	7.4	111	Comedy	Drama	February		After being dumped by her live-in boyfriend an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.
Actor	 Network	1976	10	8.1	121	Drama		November		A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
Actor	 One Flew Over the Cuckoo's Nest	1975	9	8.7	133	Drama		November	79	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
Actor	 Harry and Tonto	1974	2	7.5	115	Adventure	Comedy	January		When his apartment building is torn down a retired lifelong New Yorker goes on a cross country odyssey with his beloved cat Tonto.
Actor	 Save the Tiger	1973	3	6.9	100	Drama		July		A businessmans professional struggles begin to conflict with his personal life over the course of two days.
Actor	 The Godfather	1972	11	9.2	175	Crime	Drama	March	100	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Actor	 The French Connection	1971	8	7.8	104	Action	Crime	October	96	A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
Actor	 Patton	1970	10	8	172	Biography	Drama	April	91	The World War II phase of the career of the controversial American general George S. Patton.
Actor	 True Grit	1969	2	7.7	110	Adventure	Drama	December	80	A tough U.S. Marshal helps a stubborn teenager track down her fathers murderer.
Actor	 Charly	1968	 	7.1	103	Drama	Sci-Fi	September		An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.
Actor	 In the Heat of the Night	1967	7	8	109	Crime	Drama	October		An African American police detective is asked to investigate a murder in a racially hostile southern town.
Actor	 A Man for All Seasons	1966	8	7.9	120	Biography	Drama	May		The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
Actor	 Cat Ballou	1965	5	6.9	97	Comedy	Western	June		A woman seeking revenge for her murdered father hires a famous gunman but hes very different from what she expects.
Actor	 My Fair Lady	1964	12	7.9	170	Drama	Family	December		A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
Actor	 Lilies of the Field	1963	5	7.7	94	Drama		July		A traveling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.
Actor	 To Kill a Mockingbird	1962	8	8.4	129	Drama		March		Atticus Finch a lawyer in the Depression-era South defends a black man against an undeserved rape charge and his kids against prejudice.
Actor	 Judgment at Nuremberg	1961	11	8.3	186	Drama	History	December		In 1948 an American court in occupied Germany tries four Nazi judges for war crimes.
Actor	 Elmer Gantry	1960	5	7.9	146	Drama		July		A fast-talking traveling salesman with a charming loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.
Actor	 Ben-Hur	1959	12	8.1	212	Adventure	Drama	December		When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
