Role	name	year	nominations	rating	duration	genre1	genre2	release	metacritic	synopsis
Actress	 The Sin of Madelon Claudet	1931	 	6.8	75	Drama		October		Out of jail for a crime she did not commit Madelon turns to prostitution and thievery to send her illegitimate son to medical school.
Actress	 Min and Bill	1930	 	7.4	69	Comedy	Drama	November		Min the owner of a dockside hotel is forced to make difficult decisions about the future of Nancy the young woman she took in as an infant.
Actress	 The Divorcee	1929	4	6.9	84	Romance	Drama	April		When a woman discovers that her husband has been unfaithful to her she decides to respond to his infidelities in kind.
Actress	 Coquette	1928	 	7.3	76	Drama	Romance	April		A flirtatious southern belle is compromised with one of her beaus.
Actress	 Seventh Heaven (7th Heaven)	1927	5	7.8	110	Drama	Romance			A street cleaner saves a young womans life and the pair slowly fall in love until war intervenes.
Director	 Birdman	2014	9	7.8	119	Comedy	Drama	November	88	Illustrated upon the progress of his latest Broadway play a former popular actors struggle to cope with his current life as a wasted actor is shown.
Director	 Gravity	2013	10	7.9	91	Sci-Fi	Thriller	October	96	A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.
Director	 Life of Pi	2012	11	8	127	Adventure	Drama	November	79	A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away he forms an unexpected connection with another survivor: a fearsome Bengal tiger.
Director	 The Artist	2011	10	8	100	Comedy	Drama	October	89	A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
Director	 The King's Speech	2010	12	8	118	Biography	Drama	December	88	The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
Director	 The Hurt Locker	2009	9	7.6	131	Drama	History	July	94	During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.
Director	 Slumdog Millionaire	2008	10	8	120	Drama	Romance	January	86	"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
Director	 No Country for Old Men	2007	8	8.1	122	Crime	Drama	November	91	Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Director	 The Departed	2006	5	8.5	151	Crime	Drama	October	86	An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Director	 Brokeback Mountain	2005	8	7.7	134	Drama	Romance	January	87	The story of a forbidden and secretive relationship between two cowboys and their lives over the years.
Director	 Million Dollar Baby	2004	7	8.1	132	Drama	Sport	January	86	A determined woman works with a hardened boxing trainer to become a professional.
Director	 The Lord of the Rings: The Return of the King	2003	11	8.9	201	Adventure	Drama	December	94	Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Director	 The Pianist	2002	7	8.5	150	Biography	Drama	January	85	A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
Director	 A Beautiful Mind	2001	8	8.2	135	Biography	Drama	January	72	After a brilliant but asocial mathematician John Nash accepts secret work in cryptography his life takes a turn for the nightmarish.
Director	 Traffic	2000	5	7.6	147	Crime	Drama	January	86	A conservative judge is appointed by the President to spearhead Americas escalating war against drugs only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug barons wife attempts to carry on the family business.
Director	 American Beauty	1999	8	8.4	122	Drama	Romance	October	86	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
Director	 Saving Private Ryan	1998	11	8.6	169	Action	Drama	July	90	Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
Director	 Titanic	1997	14	7.7	194	Drama	Romance	December	74	A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
Director	 The English Patient	1996	12	7.4	162	Drama	Romance	November	87	At the close of WWII a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks revealing an involvement in a fateful love affair.
Director	 Braveheart	1995	10	8.4	178	Biography	Drama	May	68	When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
Director	 Forrest Gump	1994	13	8.8	142	Drama	Romance	July	82	Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
Director	 Schindler's List	1993	12	8.9	195	Biography	Drama	December	93	In Poland during World War II Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
Director	 Unforgiven	1992	10	8.3	131	Western		August	82	Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner and a young man.
Director	 The Silence of the Lambs	1991	7	8.6	118	Crime	Drama	February	84	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Director	 Dances with Wolves	1990	12	8	181	Adventure	Drama	November	72	Lt. John Dunbar exiled to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military.
Director	 Born on the Fourth of July	1989	8	7.2	145	Biography	Drama	January	75	The biography of Ron Kovic. Paralyzed in the Vietnam war he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.
Director	 Rain Man	1988	8	8	133	Drama		December	65	Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
Director	 The Last Emperor	1987	9	7.8	163	Biography	Drama	October	76	The story of the final Emperor of China.
Director	 Platoon	1986	8	8.1	120	Drama	War	February		A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Director	Out of Africa	1985	11	7.2	161	Biography	Drama	December		In 20th-century colonial Kenya a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.
Director	 Amadeus	1984	11	8.3	160	Biography	Drama	October	93	The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
Director	 Terms of Endearment	1983	11	7.4	132	Comedy	Drama	December	79	Follows hard-to-please Aurora looking for love and her daughters family problems.
Director	 Gandhi	1982	11	8.1	191	Biography	Drama	December		The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Director	 Reds	1981	12	7.5	195	Biography	Drama	December		A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.
Director	 Ordinary People	1980	6	7.8	124	Drama		February	85	The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.
Director	 Kramer vs. Kramer	1979	9	7.8	105	Drama		December	77	Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
Director	 The Deer Hunter	1978	9	8.2	183	Drama	War	February	73	An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Director	 Annie Hall	1977	5	8.1	93	Comedy	Romance	April		Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
Director	 Rocky	1976	10	8.1	120	Drama	Sport	December		Rocky Balboa a small-time boxer gets a supremely rare chance to fight the heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.
Director	 One Flew Over the Cuckoo's Nest	1975	9	8.7	133	Drama		November	79	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
Director	 The Godfather: Part II	1974	11	9	202	Crime	Drama	December	80	The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands and tightens his grip on his crime syndicate stretching from Lake Tahoe Nevada to pre-revolution 1958 Cuba.
Director	 The Sting	1973	10	8.3	129	Comedy	Crime	December		In Chicago in September 1936 a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.
Director	 Cabaret	1972	10	7.9	124	Drama	Musical	February	80	A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Director	 The French Connection	1971	8	7.8	104	Action	Crime	October	96	A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
Director	 Patton	1970	10	8	172	Biography	Drama	April	91	The World War II phase of the career of the controversial American general George S. Patton.
Director	 Midnight Cowboy	1969	7	7.9	113	Drama		June		A naive hustler goes to New York to seek personal fortune but in the process finds himself a new friend.
Director	 Oliver!	1968	11	7.5	153	Drama	Family	September		Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.
Director	The Graduate	1967	7	8	106	Comedy	Drama	December	77	A disillusioned college graduate finds himself torn between his older lover and her daughter.
Director	 A Man for All Seasons	1966	8	7.9	120	Biography	Drama	May		The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
Director	 The Sound of Music	1965	10	8	174	Biography	Drama	March		A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
Director	 My Fair Lady	1964	12	7.9	170	Drama	Family	December		A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
Director	Tom Jones	1963	10	6.8	128	Adventure	Comedy	December		"In eighteenth century England ""first cousins"" Tom Jones and Master Blifil grew up together in privilege in the western countryside but could not be more different in nature. Tom the ...                See full summary »"
Director	 Lawrence of Arabia	1962	10	8.4	216	Adventure	Biography	January	100	Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.
Director	West Side Story	1961	11	7.6	152	Crime	Drama	December		Two youngsters from rival New York City gangs fall in love but tensions between their respective friends build toward tragedy.
Director	 The Apartment	1960	10	8.3	125	Comedy	Drama	September		A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.
Director	 Ben-Hur	1959	12	8.1	212	Adventure	Drama	December		When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
Director	 Gigi	1958	9	6.9	115	Comedy	Musical	August		Weary of the conventions of Parisian society a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship but it may not stay platonic for long.
Director	 The Bridge on the River Kwai	1957	8	8.2	161	Adventure	Drama	October		After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
Director	 Giant	1956	10	7.7	201	Drama		November		Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
Director	 Marty	1955	8	7.7	90	Drama	Romance	June		A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
Director	 On the Waterfront	1954	12	8.3	108	Crime	Drama	June	88	An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
Director	 From Here to Eternity	1953	13	7.8	118	Drama	Romance	October		In 1941 Hawaii a private is cruelly punished for not boxing on his units team while his captains wife and second in command are falling in love.
Director	 The Quiet Man	1952	7	7.9	129	Comedy	Drama	September		A retired American boxer returns to the village of his birth in Ireland where he finds love.
Director	 A Place in the Sun	1951	9	7.8	122	Drama	Film-Noir	October		A poor boy gets a job working for his rich uncle and ends up falling in love with two women.
Director	 All About Eve	1950	14	8.3	138	Comedy	Drama	January		An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.
Director	 A Letter to Three Wives	1949	3	7.9	103	Drama	Romance	January		"A letter is addressed to three wives from their ""best friend"" Addie Ross announcing that she is running away with one of their husbands: but she does not say which one."
Director	 The Treasure of the Sierra Madre	1948	4	8.3	126	Action	Adventure	January		Fred Dobbs and Bob Curtin two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Director	 Gentleman's Agreement	1947	8	7.4	118	Drama		February		A reporter pretends to be Jewish in order to cover a story on anti-Semitism and personally discovers the true depths of bigotry and hatred.
Director	 The Best Years of Our Lives	1946	8	8.2	172	Drama	Romance	June		Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
Director	 The Lost Weekend	1945	7	8	101	Drama	Film-Noir	November		The desperate life of a chronic alcoholic is followed through a four day drinking bout.
Director	 Going My Way	1944	10	7.3	126	Comedy	Drama	October		Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
Director	 Casablanca	1943	8	8.6	102	Drama	Romance	January		Set in Casablanca Morocco during the early days of World War II: An American expatriate meets a former lover with unforeseen complications.
Director	 Mrs. Miniver	1942	12	7.6	134	Drama	Romance	December		A British family struggles to survive the first months of World War II.
Director	 How Green Was My Valley	1941	10	7.8	118	Drama	Family	April		At the turn of the century in a Welsh mining village the Morgans (he stern she gentle) raise coal-mining sons and hope their youngest will find a better life.
Director	 The Grapes of Wrath	1940	7	8.1	129	Drama		March		A poor Midwest family is forced off of their land. They travel to California suffering the misfortunes of the homeless in the Great Depression.
Director	 Gone With the Wind	1939	13	8.2	238	Drama	Romance	January		A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
Director	 You Can't Take it With You	1938	7	8	126	Comedy	Drama	November		A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
Director	 The Awful Truth	1937	6	8	91	Comedy	Romance	October		Unfounded suspicions lead a married couple to begin divorce proceedings whereupon they start undermining each others attempts to find new romance.
Director	 Mr. Deeds Goes to Town	1936	5	8	115	Comedy	Drama	April		Longfellow Deeds a simple-hearted Vermont tuba player inherits a fortune and has to contend with opportunist city slickers.
Director	 The Informer	1935	6	7.6	91	Drama		July		In 1922 an Irish rebel informs on his friend then feels doom closing in.
Director	 It Happened One Night	1934	5	8.2	105	Comedy	Romance	February		A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Director	 Cavalcade	1933	4	6.1	112	Drama	Romance	April		A cavalcade of English life from New Years Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War...                See full summary »
Director	 Bad Girl	1931	3	6.7	90	Drama		August		A man and woman skeptical about romance nonetheless fall in love and are wed but their lack of confidence in the opposite sex haunts their marriage.
Director	 Skippy	1930	4	6.3	85	Family	Drama	April		Skippy the mischievous son of a wealthy doctor meets Sooky in poverty-ridden Shantytown and together they try to save Sookys pet from a cruel dogcatcher.
Director	 All Quiet on the Western Front	1929	4	8.1	136	Drama	War	August		A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
Director	 The Divine Lady	1928	3	6.3	99	Drama	History			The story of the romance between Emma Lady Hamilton and British war hero Admiral Horatio Nelson.
Picture	 Birdman	2014	9	7.8	119	Comedy	Drama	November	88	Illustrated upon the progress of his latest Broadway play a former popular actors struggle to cope with his current life as a wasted actor is shown.
Picture	 12 Years a Slave	2013	9	8.1	134	Biography	Drama	November	97	In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery.
Picture	 Argo	2012	7	7.8	120	Biography	Drama	October	86	Acting under the cover of a Hollywood producer scouting a location for a science fiction film a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.
Picture	 The Artist	2011	10	8	100	Comedy	Drama	October	89	A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.
Picture	 The King's Speech	2010	12	8	118	Biography	Drama	December	88	The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.
Picture	 The Hurt Locker	2009	9	7.6	131	Drama	History	July	94	During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.
Picture	 Slumdog Millionaire	2008	10	8	120	Drama	Romance	January	86	"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
Picture	 No Country for Old Men	2007	8	8.1	122	Crime	Drama	November	91	Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Picture	 The Departed	2006	5	8.5	151	Crime	Drama	October	86	An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Picture	 Crash	2005	6	7.9	112	Drama		May	69	Los Angeles citizens with vastly separate lives collide in interweaving stories of race loss and redemption.
Picture	 Million Dollar Baby	2004	7	8.1	132	Drama	Sport	January	86	A determined woman works with a hardened boxing trainer to become a professional.
Picture	 The Lord of the Rings: The Return of the King	2003	11	8.9	201	Adventure	Drama	December	94	Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Picture	 Chicago	2002	13	7.2	113	Comedy	Crime	February	82	Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.
Picture	 A Beautiful Mind	2001	8	8.2	135	Biography	Drama	January	72	After a brilliant but asocial mathematician John Nash accepts secret work in cryptography his life takes a turn for the nightmarish.
Picture	 Gladiator	2000	12	8.5	155	Action	Drama	May	64	When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.
Picture	 American Beauty	1999	8	8.4	122	Drama	Romance	October	86	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
Picture	 Shakespeare in Love	1998	13	7.2	123	Comedy	Drama	December	87	A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.
Picture	 Titanic	1997	14	7.7	194	Drama	Romance	December	74	A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
Picture	 The English Patient	1996	12	7.4	162	Drama	Romance	November	87	At the close of WWII a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks revealing an involvement in a fateful love affair.
Picture	 Braveheart	1995	10	8.4	178	Biography	Drama	May	68	When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
Picture	 Forrest Gump	1994	13	8.8	142	Drama	Romance	July	82	Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
Picture	 Schindler's List	1993	12	8.9	195	Biography	Drama	December	93	In Poland during World War II Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
Picture	 Unforgiven	1992	10	8.3	131	Western		August	82	Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner and a young man.
Picture	 The Silence of the Lambs	1991	7	8.6	118	Crime	Drama	February	84	A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
Picture	 Dances with Wolves	1990	12	8	181	Adventure	Drama	November	72	Lt. John Dunbar exiled to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military.
Picture	 Driving Miss Daisy	1989	9	7.4	99	Comedy	Drama	January	81	An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
Picture	 Rain Man	1988	8	8	133	Drama		December	65	Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
Picture	 The Last Emperor	1987	9	7.8	163	Biography	Drama	October	76	The story of the final Emperor of China.
Picture	 Platoon	1986	8	8.1	120	Drama	War	February		A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
Picture	 Out of Africa	1985	11	7.2	161	Biography	Drama	December		In 20th-century colonial Kenya a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.
Picture	 Amadeus	1984	11	8.3	160	Biography	Drama	October	93	The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
Picture	 Terms of Endearment	1983	11	7.4	132	Comedy	Drama	December	79	Follows hard-to-please Aurora looking for love and her daughters family problems.
Picture	 Gandhi	1982	11	8.1	191	Biography	Drama	December		The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Picture	 Chariots of Fire	1981	7	7.3	125	Biography	Drama	May		Two British track athletes one a determined Jew and the other a devout Christian compete in the 1924 Olympics.
Picture	 Ordinary People	1980	6	7.8	124	Drama		February	85	The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.
Picture	 Kramer vs. Kramer	1979	9	7.8	105	Drama		December	77	Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
Picture	 The Deer Hunter	1978	9	8.2	183	Drama	War	February	73	An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Picture	 Annie Hall	1977	5	8.1	93	Comedy	Romance	April		Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
Picture	 Rocky	1976	10	8.1	120	Drama	Sport	December		Rocky Balboa a small-time boxer gets a supremely rare chance to fight the heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.
Picture	 One Flew Over the Cuckoo's Nest	1975	9	8.7	133	Drama		November	79	A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
Picture	 The Godfather: Part II	1974	11	9	202	Crime	Drama	December	80	The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands and tightens his grip on his crime syndicate stretching from Lake Tahoe Nevada to pre-revolution 1958 Cuba.
Picture	 The Sting	1973	10	8.3	129	Comedy	Crime	December		In Chicago in September 1936 a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.
Picture	 The Godfather	1972	11	9.2	175	Crime	Drama	March	100	The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Picture	 The French Connection	1971	8	7.8	104	Action	Crime	October	96	A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
Picture	 Patton	1970	10	8	172	Biography	Drama	April	91	The World War II phase of the career of the controversial American general George S. Patton.
Picture	 Midnight Cowboy	1969	7	7.9	113	Drama		June		A naive hustler goes to New York to seek personal fortune but in the process finds himself a new friend.
Picture	 Oliver!	1968	11	7.5	153	Drama	Family	September		Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.
Picture	 In the Heat of the Night	1967	7	8	109	Crime	Drama	October		An African American police detective is asked to investigate a murder in a racially hostile southern town.
Picture	 A Man for All Seasons	1966	8	7.9	120	Biography	Drama	May		The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
Picture	 The Sound of Music	1965	10	8	174	Biography	Drama	March		A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
Picture	 My Fair Lady	1964	12	7.9	170	Drama	Family	December		A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
Picture	 Tom Jones	1963	10	6.8	128	Adventure	Comedy	December		"In eighteenth century England ""first cousins"" Tom Jones and Master Blifil grew up together in privilege in the western countryside but could not be more different in nature. Tom the ...                See full summary »"
Picture	 Lawrence of Arabia	1962	10	8.4	216	Adventure	Biography	January	100	Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.
Picture	 West Side Story	1961	11	7.6	152	Crime	Drama	December		Two youngsters from rival New York City gangs fall in love but tensions between their respective friends build toward tragedy.
Picture	 The Apartment	1960	10	8.3	125	Comedy	Drama	September		A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.
Picture	 Ben-Hur	1959	12	8.1	212	Adventure	Drama	December		When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
Picture	 Gigi	1958	9	6.9	115	Comedy	Musical	August		Weary of the conventions of Parisian society a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship but it may not stay platonic for long.
Picture	 The Bridge on the River Kwai	1957	8	8.2	161	Adventure	Drama	October		After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
Picture	 Around the World in 80 Days	1956	8	6.8	175	Adventure	Comedy	October		Adaptation of Jules Vernes novel about a Victorian Englishman who bets that with the new steamships and railways he can do what the title says.
Picture	 Marty	1955	8	7.7	90	Drama	Romance	June		A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
Picture	 On the Waterfront	1954	12	8.3	108	Crime	Drama	June	88	An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
Picture	 From Here to Eternity	1953	13	7.8	118	Drama	Romance	October		In 1941 Hawaii a private is cruelly punished for not boxing on his units team while his captains wife and second in command are falling in love.
Picture	 The Greatest Show on Earth	1952	5	6.7	152	Drama	Family	May		The dramatic lives of trapeze artists a clown and an elephant trainer against a background of circus spectacle.
Picture	 An American in Paris	1951	8	7.3	113	Musical	Romance	November		Three friends struggle to find work in Paris. However things become more complicated when two of them fall in love with the same woman.
Picture	 All About Eve	1950	14	8.3	138	Comedy	Drama	January		An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.
Picture	 All the King's Men	1949	7	7.6	110	Drama		January		The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.
Picture	 Hamlet	1948	7	7.9	155	Drama		August		Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.
Picture	 Gentleman's Agreement	1947	8	7.4	118	Drama		February		A reporter pretends to be Jewish in order to cover a story on anti-Semitism and personally discovers the true depths of bigotry and hatred.
Picture	 The Best Years of Our Lives	1946	8	8.2	172	Drama	Romance	June		Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
Picture	 The Lost Weekend	1945	7	8	101	Drama	Film-Noir	November		The desperate life of a chronic alcoholic is followed through a four day drinking bout.
Picture	 Going My Way	1944	10	7.3	126	Comedy	Drama	October		Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
Picture	 Casablanca	1943	8	8.6	102	Drama	Romance	January		Set in Casablanca Morocco during the early days of World War II: An American expatriate meets a former lover with unforeseen complications.
Picture	 Mrs. Miniver	1942	12	7.6	134	Drama	Romance	December		A British family struggles to survive the first months of World War II.
Picture	 How Green Was My Valley	1941	10	7.8	118	Drama	Family	April		At the turn of the century in a Welsh mining village the Morgans (he stern she gentle) raise coal-mining sons and hope their youngest will find a better life.
Picture	 Rebecca	1940	11	8.2	130	Drama	Mystery	April		A self-conscious bride is tormented by the memory of her husbands dead first wife.
Picture	 Gone With the Wind	1939	13	8.2	238	Drama	Romance	January		A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.
Picture	 You Can't Take it With You	1938	7	8	126	Comedy	Drama	November		A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.
Picture	 The Life of Emile Zola	1937	10	7.3	116	Biography	Drama	October		The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.
Picture	 The Great Ziegfeld	1936	7	6.8	176	Biography	Drama	April		This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.
Picture	 Mutiny on the Bounty	1935	8	7.8	132	Adventure	Drama			Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However Bligh returns one year later hell bent on avenging his captors.
Picture	 It Happened One Night	1934	5	8.2	105	Comedy	Romance	February		A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Picture	 Cavalcade	1933	4	6.1	112	Drama	Romance	April		A cavalcade of English life from New Years Eve 1899 until 1933 seen through the eyes of well-to-do Londoners Jane and Robert Marryot. Amongst events touching their family are the Boer War...                See full summary »
Picture	 Grand Hotel	1931	-	7.6	112	Drama	Romance	September		A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.
Picture	 Cimarron	1930	7	6	123	Drama	Western	February		A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.
Picture	 All Quiet on the Western Front	1929	4	8.1	136	Drama	War	August		A young soldier faces profound disillusionment in the soul-destroying horror of World War I.
